;;;;;;;;;;;;;x,,,,,,,,
EVTDESC95656_NEWS_SHORT;The $COUNTRY_ADJ$ government today concluded a historic treaty with $FROMCOUNTRY$, finally settling the war between them in exchange for land and trade concessions.;;;;;;;;;;;;x,,,,,,,
EVTNAME96006_NEWS_TITLE;$COUNTRY$ Near Total Collapse!;;;;;;;;;;;;;x,,,,,,,,
EVTDESC96006_NEWS_LONG;Reports from $COUNTRY$ indicate that their effort in the Great War is not going well, to say the least.  Much of the country is under enemy occupation, and the populace even in the free areas is suffering greatly from massive shortages. Advisors to the $COUNTRY_ADJ$ government are urging that their leaders sue for peace—do whatever it takes to end this war, and end it now. ‘This is a dark day for $COUNTRY$, ’ said one official. ‘We are beyond a state of emergency. The situation is simply hopeless for us. If our allies do not come to our aid soon, we are lost.’;;;;;;;;;;;;;x,,,
EVTDESC96006_NEWS_MEDIUM;Reports from $COUNTRY$ indicate that their effort in the Great War is not going well, to say the least.  Advisors to the $COUNTRY_ADJ$ government are urging that their leaders sue for peace—do whatever it takes to end this war, and end it now.;;;;;;;;;;;;;x,,,,,,
EVTDESC96006_NEWS_SHORT;Reports from $COUNTRY$ indicate that their effort in the Great War is not going well. Advisors to the $COUNTRY_ADJ$ government are urging that their leaders sue for peace.;;;;;;;;;;;;;x,,,,,,,,
EVTDESC96010_NEWS_LONG;After much deliberation following the end of the recent war, delegates left $CAPITAL$ with the announcement that a treaty had been reached with the $COUNTRY_ADJ$ government. ‘$COUNTRY$ will be dismantled, ’ one official relayed. ‘Their sins shall be forgiven, but in return they will give up all their colonial holdings, shall release any sovereign states within their borders and return any foreign lands under $COUNTRY_ADJ$ occupation. We seek to ensure that $COUNTRY$ is in no way able to threaten world peace once more.’;;;;;;;;;;;;;x,,,,
EVTDESC96010_NEWS_MEDIUM;After much deliberation following the end of the recent war, delegates left $CAPITAL$ with the announcement that an accord had finally been reached with the $COUNTRY_ADJ$ government, resulting in the dismantling of $COUNTRY$ and all its holdings.;;;;;;;;;;;;;x,,,,,,
EVTDESC96010_NEWS_SHORT;After much deliberation following the end of the recent war, delegates left $CAPITAL$ with the announcement that a peace treaty had finally been reached with the $COUNTRY_ADJ$ government.;;;;;;;;;;;;;x,,,,,,,
EVTNAME96085_NEWS_TITLE;$COUNTRY_ADJ$ Democracy;;;;;;;;;;;;;x,,,,,,,,
EVTDESC96085_NEWS_LONG;With elections already underway in $COUNTRY$, it has become clear that the $FROMCOUNTRY$-supported democratic government is here to stay—at least for the time being. While not everyone in $COUNTRY$ is thrilled at the idea of their freedom being imposed on them by an enemy country, many are nevertheless overjoyed. ‘I do not care if $COUNTRY_ADJ$ democracy comes only because $FROMCOUNTRY$ tells us to do it, ’ one citizen gushed. ‘What matters is that now I can vote.’;;;;;;;;;;;;;x,,,,,
EVTDESC96085_NEWS_MEDIUM;With elections already underway in $COUNTRY$, it has become clear that the $FROMCOUNTRY$-supported democratic government is here to stay—at least for the time being. While not everyone in $COUNTRY$ is thrilled at the idea of their freedom being imposed, many are nevertheless overjoyed.;;;;;;;;;;;;;x,,,,,,
EVTDESC96085_NEWS_SHORT;With elections already underway in $COUNTRY$, it has become clear that the $FROMCOUNTRY$-supported democratic government is here to stay—at least for the time being.;;;;;;;;;;;;;x,,,,,,,
EVTNAME96086_NEWS_TITLE;$COUNTRY_ADJ$ Fascism;;;;;;;;;;;;;x,,,,,,,,
EVTDESC96086_NEWS_LONG;With the new, $FROMCOUNTRY_ADJ$-supported government already assembling in $CAPITAL$, it is clear that fascism in $COUNTRY$ is here to stay—at least for the time being. $FROMCOUNTRY_ADJ$ soldiers may have left $COUNTRY$, but their presence is still felt everywhere. Efforts are already underway to suppress any resistance from $COUNTRY_ADJ$ citizens, and $FROMCOUNTRY_ADJ$ flags hang in every window beside $COUNTRY_ADJ$ ones. ‘They are our allies, ’ said one man. ‘Why would we not honor what they have done for us?’;;;;;;;;;;;;;x,,,
EVTDESC96086_NEWS_MEDIUM;With the new, $FROMCOUNTRY_ADJ$-supported government already assembling in $CAPITAL$, it is clear that fascism in $COUNTRY$ is here to stay—at least for the time being. $FROMCOUNTRY_ADJ$ soldiers may have left $COUNTRY$, but their presence is still felt everywhere.;;;;;;;;;;;;;x,,,,,
EVTDESC96086_NEWS_SHORT;With the new, $FROMCOUNTRY_ADJ$-supported government already assembling in $CAPITAL$, it is clear that fascism in $COUNTRY$ is here to stay—at least for the time being.;;;;;;;;;;;;;x,,,,,,
EVTDESC96110_NEWS_LONG;Abdul-Aziz, scion of the House of Saud, has returned to $COUNTRY$ from exile in Kuwait. Not only that, reports state the man has managed to forge an alliance with the southern Bedouin tribes and retaken Riyadh from $COUNTRY_ADJ$ control. The rulers of $COUNTRY$ are scrambling to counter this sudden return, recruiting allies against ibn Saud lest their earlier victory over his house be permanently undone.;;;;;;;;;;;;;x,,,,
EVTDESC96110_NEWS_MEDIUM;Abdul-Aziz, scion of the House of Saud, has returned to $COUNTRY$ from exile in Kuwait. Not only that, reports state the man has managed to forge an alliance with the southern Bedouin tribes and retaken Riyadh from $COUNTRY_ADJ$ control.;;;;;;;;;;;;;x,,,,,
EVTDESC96110_NEWS_SHORT;Abdul-Aziz, scion of the House of Saud, has forged an alliance with the southern Bedouin tribes and retaken Riyadh from $COUNTRY_ADJ$ control.;;;;;;;;;;;;;x,,,,,,
EVTNAME96120_NEWS_TITLE;The War of Arabian Domination;;;;;;;;;;;;;x,,,,,,,,
EVTDESC96120_NEWS_LONG;The lands of Arabia have been split between two competing royal houses for many years: the house of Saud and the house of Rashid, the latter supported at times by the Ottomans and the former often on good terms with the British. Matters have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Rashidi family, ruler of Ha'il, has made a bid for dominance and called on their allies to join them in battle against Nejd.;;;;;;;;;;;;;x,,,,
EVTDESC96120_NEWS_MEDIUM;Matters in Arabia have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Rashidi royal family, ruler of Ha'il, has made a bid for dominance and called on their allies to join them in battle against Saudis in Nejd.;;;;;;;;;;;;;x,,,,,
EVTDESC96120_NEWS_SHORT;The head of the Rashidi royal family, rulers of Ha'il, has made a bid for dominance and called on their allies to join them in battle against Saudis in Nejd.;;;;;;;;;;;;;x,,,,,,
EVTDESC96121_NEWS_LONG;The lands of Arabia have been split between two competing royal houses for many years: the house of Saud and the house of Rashid, the latter supported at times by the Ottomans and the former often on good terms with the British. Matters have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Saudi family, ruler of Nejd, has made a bid for dominance and called on their allies to join them in battle against Ha'il.;;;;;;;;;;;;;x,,,,
EVTDESC96121_NEWS_MEDIUM;Matters in Arabia have finally come to a head, and a war is brewing to determine the fate of Arabia once and for all. The head of the Saudi royal family, ruler of Nejd, has made a bid for dominance and called on their allies to join them in battle against Rashidis in Ha'il.;;;;;;;;;;;;;x,,,,,
EVTDESC96121_NEWS_SHORT;The head of the Saudi royal family, ruler of Nejd, has made a bid for dominance and called on their allies to join them in battle against Rashidis in Ha'il.;;;;;;;;;;;;;x,,,,,,
EVTDESC96130_NEWS_LONG;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor, and some are talking about the need for a united front to contain $COUNTRY_ADJ$ aggression. There are even efforts to stir up their own citizens against them. ‘Surely not all people in $COUNTRY$ agree with their government!’ commented one leader. $COUNTRY$ will need to be careful, lest they face not a single enemy but that of the world's great powers united against them.;;;;;;;;;;;;;x,,,,,,
EVTDESC96130_NEWS_MEDIUM;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor, and some are talking about a united front to contain $COUNTRY_ADJ$ aggression. $COUNTRY$ will need to be careful, lest they face the world's great powers united against them.;;;;;;;;;;;;;x,,,,,,
EVTDESC96130_NEWS_SHORT;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor. $COUNTRY$ will need to be careful, lest they face the world's great powers united against them.;;;;;;;;;;;;;x,,,,,,,
EVTDESC96136_NEWS_LONG;$FROMCOUNTRY_ADJ$ diplomats have approached $COUNTRY$ with an ultimatum: dismantle immediately, or the great powers of the world will be forced to unite against you. It goes without saying that their demands are extremely humiliating, involving the surrender of all conquered territories among many other things. If they do not agree, however, $COUNTRY$ will face a great war which even they may not be able to deal with.;;;;;;;;;;;;;x,,,,
EVTDESC96136_NEWS_MEDIUM;$FROMCOUNTRY_ADJ$ diplomats have approached $COUNTRY$ with an ultimatum: dismantle immediately, or the great powers of the world will be forced to unite against you. If they do not agree, $COUNTRY$ will face a great war which even they may not be able to deal with.;;;;;;;;;;;;;x,,,,,,
EVTDESC96136_NEWS_SHORT;$FROMCOUNTRY_ADJ$ diplomats have approached $COUNTRY$ with an ultimatum: dismantle immediately, or the great powers of the world will be forced to unite against you.;;;;;;;;;;;;;x,,,,,,,
EVTDESC96170_NEWS_LONG;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war to unify the tribes in western and central Sudan. While the local government in Khartoum initially dismissed this man, further reports indicate the Mahdi possesses a great deal of magnetism-- and his rallying call of driving all foreign presence out of the Sudan has gained him a large following. These Mahdists may prove to be a serious threat to $COUNTRY_ADJ$ rule of the Sudan.;;;;;;;;;;;;;x,,,,,,,
EVTDESC96170_NEWS_MEDIUM;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war to unify the tribes in western and central Sudan. These Mahdists may prove to be a serious threat to $COUNTRY_ADJ$ rule of the Sudan.;;;;;;;;;;;;;x,,,,,,,,
EVTDESC96170_NEWS_SHORT;A Sudanese religious leader by the name of Muhammad Ahmad has proclaimed himself the Mahdi (or 'guided one') and begun a war against $COUNTRY$ to unify the tribes in western and central Sudan.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME96087_NEWS_TITLE;$COUNTRY_ADJ$ Communism;;;;;;;;;;;;;x,,,,,,,,
EVTDESC96087_NEWS_LONG;With the new, $FROMCOUNTRY_ADJ$-supported politburo already assembling in $CAPITAL$, it is clear that communism  in $COUNTRY$ is here to stay—at least for the time being. $FROMCOUNTRY_ADJ$ soldiers may have left $COUNTRY$, but their presence is still felt everywhere. Efforts are already underway to suppress any resistance from $COUNTRY_ADJ$ citizens, and $FROMCOUNTRY_ADJ$ flags hang in every window beside $COUNTRY_ADJ$ ones. ‘They are our allies, ’ said one man. ‘Why would we not honor what they have done for us?’;;;;;;;;;;;;;x,,,
EVTDESC96087_NEWS_MEDIUM;With the new, $FROMCOUNTRY_ADJ$-supported politburo already assembling in $CAPITAL$, it is clear that communism in $COUNTRY$ is here to stay—at least for the time being. $FROMCOUNTRY_ADJ$ soldiers may have left $COUNTRY$, but their presence is still felt everywhere.;;;;;;;;;;;;;x,,,,,
EVTDESC96087_NEWS_SHORT;With the new, $FROMCOUNTRY_ADJ$-supported politburo already assembling in $CAPITAL$, it is clear that communism in $COUNTRY$ is here to stay—at least for the time being.;;;;;;;;;;;;;x,,,,,,
EVTDESC97000_NEWS_MEDIUM;Dissatisfaction with Portugal`s government has grown into rebellion, spurred on by discontent with the prohibition against burials inside churches. The instigator of the initial riots is a woman by the name of Maria, and her nickname has come to be used to represent the rebellion.;;;;;;;;;;;;;x,,,,,,
EVTDESC97000_NEWS_SHORT;Dissatisfaction with Portugal`s government has grown into a rebellion. The instigator of the initial riots is a woman named Maria, and her nickname has come to represent the rebellion.;;;;;;;;;;;;;x,,,,,,,
EVTDESC97003_NEWS_LONG;Reacting to the spreading revolts in Portugal, Queen Maria II has suspended the constitution and installed a reactionary government presided over by João Francisco de Saldanha Oliveira e Daun, 1st Duke of Saldanha. This has served to spur on Portugal's liberals to outrage, and begun talk of civil war.;;;;;;;;;;;;;x,,,,,
EVTDESC97003_NEWS_MEDIUM;Reacting to the spreading revolts in Portugal, Queen Maria II has suspended the constitution and installed a reactionary government presided over by the Duke of Saldanha. This has served to spur on Portugal`s liberals to outrage, and begun talk of civil war.;;;;;;;;;;;;;x,,,,,,
EVTDESC97003_NEWS_SHORT;Reacting to the spreading revolts in Portugal, Queen Maria II has angered liberals by suspending the constitution and installing a reactionary government presided over by the Duke of Saldanha.;;;;;;;;;;;;;x,,,,,,,
EVTDESC97015_NEWS_LONG;Upon returning to Lisbon from a brief trip abroad, King Carlos I of Portugal and the royal family had their carriage fired upon by republican activists as they passed through the Terreiro do Paço. Three of the bullets struck and killed the King, while another fatally wounded the heir to the throne, Luis Filipe. During the turmoil, police killed the assassins... but the King and the royal heir were not saved and were pronounced dead at the Naval Arsenal soon afterwards. Manuel, the king's youngest son, has been quickly acclaimed as the new King of Portugal.;;;;;;;;;;;;;x,,
EVTDESC97015_NEWS_MEDIUM;Upon returning to Lisbon from a brief trip abroad, King Carlos I of Portugal and the royal heir were slain as their carriage was fired upon by republican activists. Manuel, the king's youngest son, has been acclaimed as the new King of Portugal.;;;;;;;;;;;;;x,,,,,
EVTDESC97015_NEWS_SHORT;Upon returning from a brief trip abroad, King Carlos I of Portugal and the royal heir were slain by republican activists. Manuel, the king's youngest son, has been acclaimed the new King.;;;;;;;;;;;;;x,,,,,
EVTDESC97020_NEWS_LONG;With the Portuguese monarchy already weakened by the death of King Carlos, republican opponents have been able to gather considerable support in Lisbon. Members of the Carbonária, republican youth, and elements of the army instigated a coup d'état in the palace. The young King Manuel and his family reportedly escaped for exile to England, and only days later a new Portuguese Republic was declared in Lisbon.;;;;;;;;;;;;;x,,,,
EVTDESC97020_NEWS_MEDIUM;Members of the Carbonária, republican youth, and elements of the army have overthrown the Portuguese monarchy in a coup d'état. The young King Manuel and his family reportedly escaped for exile to England, and only days later a new Portuguese Republic was declared in Lisbon.;;;;;;;;;;;;;x,,,,,
EVTDESC97020_NEWS_SHORT;Members of the Carbonária have overthrown the Portuguese monarchy in a coup d'état. King Manuel and his family escaped for exile to England, and a new Portuguese Republic has been declared.;;;;;;;;;;;;;x,,,,,,,
EVTNAME97055_NEWS_TITLE;End of the Peru-Bolivian Confederation?;;;;;;;;;;;;;x,,,,,,,,
EVTDESC97055_NEWS_LONG;With the recent losses suffered by $COUNTRY_ADJ$ forces, confidence in the confederation has eroded. Citizens in $CAPITAL$ gathered to demand the separation of Bolivia and the end of the country which has caused so much conflict in South America. The $COUNTRY_ADJ$ government is considering—should they refuse, it will almost certainly mean civil war.;;;;;;;;;;;;;x,,,,,,
EVTDESC97055_NEWS_MEDIUM;Citizens in $CAPITAL$ gathered to demand the separation of Bolivia and the end of the country which has caused so much conflict in South America. The $COUNTRY_ADJ$ government is considering—should they refuse, it will almost certainly mean civil war.;;;;;;;;;;;;;x,,,,,,,
EVTDESC97055_NEWS_SHORT;Citizens in $COUNTRY$ gathered to demand the separation of Bolivia and the end of the country which has caused so much conflict in South America.;;;;;;;;;;;;;x,,,,,,,,
EVTDESC97060_NEWS_LONG;Brazil has traditionally held the right to intervene in Uruguayan internal affairs as it sees fit, but in recent months the conservative Blanco government has proven to be increasingly intransigent. The rebel leader of the liberal Colorados, Venancio Flores, has reportedly approached the Brazilian government with the offer of an alliance: place him in power and Brazil has a firm ally in Uruguay once again.;;;;;;;;;;;;;x,,,,,
EVTDESC97060_NEWS_MEDIUM;After years of hostile relations with Uruguay, the rebel leader of the liberal Colorados has reportedly approached the Brazilian government with the offer of an alliance: place him in power and Brazil has a firm ally in Uruguay once again.;;;;;;;;;;;;;x,,,,,,,
EVTDESC97060_NEWS_SHORT;The rebel leader of the liberal Colorados in Uruguay has reportedly approached the Brazilian government with the offer of an alliance: place him in power and Brazil has a firm ally once again.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME97070_NEWS_TITLE;A Dictator in Ecuador;;;;;;;;;;;;;x,,,,,,,,
EVTDESC97070_NEWS_LONG;General Juan José Flores, the president of Ecuador and considered by many to be its founder, has responded to his falling popularity by engaging in voting irregularities and seeking to annul the 1835 constitution in order to remain in power. This new constitution, nicknamed the 'Carta de la Esclavitud' (or the 'letter of slavery') has angered a great number of the country's liberal populace.;;;;;;;;;;;;;x,,,,,
EVTDESC97070_NEWS_MEDIUM;General Juan José Flores, the president of Ecuador and considered by many to be its founder, has responded to his falling popularity by engaging in voting irregularities and seeking to annul the 1835 constitution in order to remain in power.;;;;;;;;;;;;;x,,,,,,
EVTDESC97070_NEWS_SHORT;General Juan José Flores, the president of Ecuador and considered by many to be its founder, has responded to his falling popularity by annulling the 1835 constitution.;;;;;;;;;;;;;x,,,,,,
EVTDESC97075_NEWS_LONG;Gabriel García Moreno, called the father of Ecuadorian conservatism, has risen to power during a time of crisis. To some, he is exactly what the country needs to see it through these troubled times. To others he is a tyrant. In either case, Moreno now rules Ecuador with an iron fist.;;;;;;;;;;;;;x,,,,
EVTDESC97075_NEWS_MEDIUM;Gabriel García Moreno, called the father of Ecuadorian conservatism, has risen to power during a time of crisis. To some, he is exactly what the country needs to see it through these troubled times. To others he is a tyrant. In either case, Moreno now rules Ecuador with an iron fist.;;;;;;;;;;;;;x,,,,
EVTDESC97075_NEWS_SHORT;Gabriel García Moreno, called the father of Ecuadorian conservatism, has risen to power during a time of crisis. Moreno now rules Ecuador with an iron fist.;;;;;;;;;;;;;x,,,,,,
EVTDESC97110_NEWS_MEDIUM;Seldom has there been any serious credence given to the idea of a single Indian union crossing all cultural boundaries, save by force of arms. This has recently changed, with Indian nationalists in $COUNTRY$ calling for a true union-- their calls have received a great deal of attention.;;;;;;;;;;;;;x,,,,,,
EVTDESC97110_NEWS_SHORT;Seldom has there been any serious credence given to the idea of a single Indian union. This has recently changed, with nationalists in $COUNTRY$ calling for Indian cultures to unite.;;;;;;;;;;;;;x,,,,,,,
EVTDESC97116_NEWS_LONG;With the death of Ranjit Singh, a vacany has been left in the leadership of the Sikh Empire which will not be easily filled. The Maharajah's heir died suspiciously within months, as did the heir to follow, all due to infighting among the Panjabi princes struggling to maintain power. As Sikhs pour into the British frontier, it seems they will inevitably be drawn into the conflict.;;;;;;;;;;;;;x,,,,
EVTDESC97116_NEWS_MEDIUM;With the death of Ranjit Singh, a vacany has been left in the leadership of the Sikh Empire and caused much infighting among the Panjabi princes. As Sikhs pour into the British frontier, it seems they will inevitably be drawn into the conflict.;;;;;;;;;;;;;x,,,,,,
EVTDESC97116_NEWS_SHORT;With the death of Ranjit Singh, infighting among the Panjabi princes has erupted. As Sikhs pour into the British frontier, it seems they will inevitably be drawn into the conflict.;;;;;;;;;;;;;x,,,,,,
EVTDESC97151_NEWS_LONG;According to reports, a fight broke out in $FROMCOUNTRY$ between two Spanish nationals and a much larger group of locals. One of the Spaniards was killed. This would be nothing more than a local matter had the event not come to the attention of a Spanish admiral... who subsequently demanded the $FROMCOUNTRY_ADJ$ government issue a full apology to Spain. They have done so, but some Spanish advisors are pushing the government to assert its authority over its old colony as a means of regaining lost glory.;;;;;;;;;;;;x,,,,,,
EVTDESC97151_NEWS_MEDIUM;According to reports, an incident in $FROMCOUNTRY$ came to the attention of a Spanish admiral... who subsequently demanded the $FROMCOUNTRY_ADJ$ government issue a full apology. They have done so, but some advisors are pushing to regain lost glory through war.;;;;;;;;;;;;x,,,,,,
EVTDESC97151_NEWS_SHORT;An incident in $FROMCOUNTRY$ has resulted in the $FROMCOUNTRY_ADJ$ government issuing a full apology to Spain, but some Spanish advisors are pushing to regain lost glory through war.;;;;;;;;;;;;x,,,,,,,
EVTDESC97152_NEWS_LONG;According to reports, a fight broke out in $FROMCOUNTRY$ between two Spanish nationals and a much larger group of locals. One of the Spaniards was killed. This would be nothing more than a local matter had the event not come to the attention of a Spanish admiral... who demanded the $FROMCOUNTRY_ADJ$ government issue a full apology to Spain. Predictably, they have refused. This is a direct challenge to Spanish authority from a former colony. If they do not react in kind, they will lose a great deal of credibility.;;;;;;;;;;;;x,,,,,
EVTDESC97152_NEWS_MEDIUM;According to reports, a fight broke out in $FROMCOUNTRY$ between Spanish nationals and a group of locals. Predictably, $FROMCOUNTRY$ has refused to apologize to Spain over the matter. This is a direct challenge to Spanish authority from a former colony.;;;;;;;;;;;;x,,,,,,
EVTDESC97152_NEWS_SHORT;A conflict between locals and Spanish nationals has resulted in $FROMCOUNTRY$ refusing to apologize to Spain over the matter. This is an insult to Spain from a former colony.;;;;;;;;;;;;x,,,,,,,,
EVTDESC97175_NEWS_LONG;The rebellion in $STATENAME$ has been going on unchecked for far too long, and some observers claim that $COUNTRY$ in danger of losing control of the colony entirely. Local militants in $PROVINCENAME$ have gone so far as to declare their independence from $COUNTRY_ADJ$ rule... and while that isn’t yet a claim to be taken seriously, as $STATENAME$'s state of chaos is still far too widespread, it's an embarrassment to $COUNTRY$ and, given enough time, the militants might gain enough control to earn the colony's independence in truth.;;;;;;;;;;;;x,,,
EVTDESC97175_NEWS_MEDIUM;The rebellion in $STATENAME$ has been going on unchecked, and some observers claim that $COUNTRY$ in danger of losing control of the colony entirely. It's an embarrassment to $COUNTRY$ and, given enough time, the militants might gain enough control to earn the colony's independence in truth.;;;;;;;;;;;;x,,,,,
EVTDESC97175_NEWS_SHORT;The rebellion in $STATENAME$ has been going unchecked, and observers claim that $COUNTRY$ in danger of losing control of the colony entirely. If so, it would be an embarrassment to $COUNTRY_ADJ$ prestige.;;;;;;;;;;;;x,,,,,,
EVTNAME97205_NEWS_TITLE;Kiel Canal' Now Under $COUNTRY_ADJ$ Control;;;;;;;;;;;;x,,,,,,,,
EVTDESC97205_NEWS_LONG;The recent military and administrative takeover of the province of Kiel by $COUNTRY$ has caused hefty discussions among the international trading companies, as this small North German territory homes the 'Kiel Canal'. Since its opening the canal is already considered an important sea traffic route, considerably shortening the traffic distances between the North and the Baltic Sea. All major trading companies have already applied to the $COUNTRY_ADJ$ Board of Trade for formal rights of passage through the canal.;;;;;;;;;;;;x,,,,,,
EVTDESC97205_NEWS_MEDIUM;The recent takeover of the 'Kiel Canal' by $COUNTRY$ has caused hefty discussions among the international trading companies. The canal is already considered an important sea traffic route, considerably shortening the traffic distances between the North and the Baltic Sea.;;;;;;;;;;;;x,,,,,,,
EVTDESC97205_NEWS_SHORT;The recent takeover of the 'Kiel Canal' by $COUNTRY$ has caused hefty discussions among the international trading companies. The canal is already considered an important sea traffic route.;;;;;;;;;;;;x,,,,,,,,
EVTNAME97210_NEWS_TITLE;$COUNTRY_ADJ$ Plans For 'Kiel Canal' Revealed;;;;;;;;;;;;x,,,,,,,,
EVTDESC97210_NEWS_LONG;Local shipowner and businessmen from the province of Kiel presented to the $COUNTRY_ADJ$ government a concept for construction of the 'Kiel Canal',a waterway across the Cimbrian peninsula to shorten the traffic distances between the North and the Baltic Sea. Though the finalization of this canal would likely take some time it would also mark another historic point in the industrial and commercial development of $COUNTRY$. Neither the government nor the businessmen would comment on an exact starting date for the construction though.;;;;;;;;;;;;x,,,,,,,
EVTDESC97210_NEWS_MEDIUM;Local shipowner and businessmen from the province of Kiel presented to the $COUNTRY_ADJ$ government a concept for construction of the 'Kiel Canal',a waterway across the Cimbrian peninsula to shorten the traffic distances between the North and the Baltic Sea.;;;;;;;;;;;;x,,,,,,,
EVTDESC97210_NEWS_SHORT;Businessmen from Kiel presented to the $COUNTRY_ADJ$ government a concept for construction of the 'Kiel Canal',a waterway to shorten the traffic distances between the North and Baltic Sea.;;;;;;;;;;;;x,,,,,,,
EVTNAME97225_NEWS_TITLE;$COUNTRY$ Completes Kiel Canal;;;;;;;;;;;;x,,,,,,,,
EVTDESC97225_NEWS_LONG;From the 16th century onwards there were repeated plans to dig a waterway across the Cimbrian peninsula, to shorten the traffic distances between the major harbours in the North and the Baltic Sea. With the 'Kiel Canal' finally complete and the Hamburg-American freighter, Palatia, being the first ship to pass through the construction of this canal has greatly increased the international prestige of $COUNTRY$. The $COUNTRY_ADJ$ Board of Trade has not commented on possible annual revenues so far but is expected to do so in the near future.;;;;;;;;;;;;x,,,,,
EVTDESC97225_NEWS_MEDIUM;With the 'Kiel Canal' finally complete, the construction of this waterway to shorten the traffic distances between the North and the Baltic Sea has greatly increased the international prestige of $COUNTRY$. The National Board of Trade has not commented on annual revenues so far.;;;;;;;;;;;;x,,,,,,,
EVTDESC97225_NEWS_SHORT;With the 'Kiel Canal' complete, its construction to shorten the traffic distances between the North and Baltic Sea has greatly increased the international prestige of $COUNTRY$.;;;;;;;;;;;;x,,,,,,,
EVTNAME97255_NEWS_TITLE;Suez Canal Under $COUNTRY_ADJ$ Control;;;;;;;;;;;;x,,,,,,,,
EVTDESC97255_NEWS_LONG;The recent military and administrative takeover of the region around Suez by $COUNTRY$ has caused a major turmoil among the international trading companies, as this territory homes the 'Suez Canal'. Since its opening the canal is already considered the most important sea traffic route in the world, substantially shortening the traffic distances between European and Asian harbours. All major trading companies have already applied to the $COUNTRY_ADJ$ Board of Trade for formal rights of passage through the canal.;;;;;;;;;;;;x,,,,,,
EVTDESC97255_NEWS_MEDIUM;The recent takeover of the 'Suez Canal' by $COUNTRY$ has caused a turmoil among the international trading companies. The canal is already considered the most important sea traffic route, substantially shortening the traffic distances between Europe and Asia.;;;;;;;;;;;;x,,,,,,,
EVTDESC97255_NEWS_SHORT;The takeover of the 'Suez Canal' by $COUNTRY$ has caused a turmoil among the international trading companies. The canal is already considered the most important sea traffic route.;;;;;;;;;;;;x,,,,,,,,
EVTNAME97265_NEWS_TITLE;$COUNTRY$ Reveals Plans For 'Suez Canal';;;;;;;;;;;;x,,,,,,,,
EVTDESC97265_NEWS_LONG;$COUNTRY_ADJ$ engineers have officially presented to the regional Egyptian government a concept for construction of a waterway directly linking the Mediterranean to the Red Sea – calling it the 'Suez Canal'. According to the engineering lead team 'the construction of this canal can be done within a few years…provided that problems of any other than a technical kind will not arise'. Local officials have not commented on an exact starting date for the construction but denied repeating rumors that the $COUNTRY_ADJ$ government itself would be behind the project.;;;;;;;;;;;;x,,,,,,,,
EVTDESC97265_NEWS_MEDIUM;$COUNTRY_ADJ$ engineers have presented to the regional Egyptian government a concept for construction of a waterway directly linking the Mediterranean to the Red Sea – calling it the 'Suez Canal'. Officials have not commented on an exact starting date for the construction.;;;;;;;;;;;;x,,,,,,,,
EVTDESC97265_NEWS_SHORT;$COUNTRY_ADJ$ engineers have presented to the local Egyptian government a concept for construction of the 'Suez Canal', directly linking the Mediterranean to the Red Sea.;;;;;;;;;;;;x,,,,,,,
EVTNAME97280_NEWS_TITLE;$COUNTRY$ Completes Suez Canal;;;;;;;;;;;;x,,,,,,,,
EVTDESC97280_NEWS_LONG;'In homage to the memory of a generous though unfortunate man…' The unveiling of this engraving on a bronze bust funded by the $COUNTRY_ADJ$ government marked the highly prestigious formal opening ceremony of the 'Suez Canal'. This waterway, directly linking the Mediterranean to the Red Sea, might soon become the most important sea traffic route in the world as it drastically shortens the traffic distances between Europe and Asia. The $COUNTRY_ADJ$ National Board of Trade will announce the annual fees for the formal right of passage within the next week.;;;;;;;;;;;;x,,,,,,
EVTDESC97280_NEWS_MEDIUM;The unveiling of an engraving funded by the $COUNTRY_ADJ$ government marked the highly prestigious opening ceremony of the 'Suez Canal'. This waterway, directly linking the Mediterranean to the Red Sea, might soon become the most important sea traffic route in the world.;;;;;;;;;;;;x,,,,,,
EVTDESC97280_NEWS_SHORT;With the 'Suez Canal' complete, its construction to shorten the traffic distances between the North and Baltic Sea has greatly increased the international prestige of $COUNTRY$.;;;;;;;;;;;;x,,,,,,,
EVTNAME97355_NEWS_TITLE;Panama Canal Under $COUNTRY_ADJ$ Control;;;;;;;;;;;;x,,,,,,,,
EVTDESC97355_NEWS_LONG;The recent military and administrative takeover of the Panaman region by $COUNTRY$ has caused discussions among the international trading companies, as this territory homes the 'Panama Canal'. Since its opening the canal is already considered a very important sea traffic route, joining the Atlantic and the Pacific Ocean and thus replacing the long and treacherous route around South America. All major trading companies have already applied to the $COUNTRY_ADJ$ Board of Trade for formal rights of passage through the canal.;;;;;;;;;;;;x,,,,,,
