#;#;#;#;#;#;#;#;#;#;#;#;#;#;x
EVTDESC201058;We searched for hours, but we didn't find the entrance. A huge portal marks an area, which we identify as a possible gate, but it it is closed by a huge stone slab. Knots of alpaca hair is hanging above us, corded in strange knots. 'A quipu! At least something.' Henry seems facilitated. The Incas wrote their messages in a complicated systems of knots, why we call them also 'talking knots'. Henry is able to decipher it, but his look is confused. 'But... that can be true. The most quipus were conserved in the coast regions. In the mountains, nearly 90% are rotten.' 'Henry, please, continue the translation', I interrupt. 'We have later time for these investigations.' Henry grumbles, cathces a breath. Than he proceeds: 'Sacrifice the flesh of an animal/ the flesh of a tree/ the flesh of the sea/ and the flesh of the earth./ Finally, after five pounds of llama wool/ you will see Intis sun.';;;;;;;;;;;;x;
EVTNAME201059;The Labyrinth;;;;;;;;;;;;x;
EVTDESC201059;We gathered the asked goods. The are forced to give up our provisions, and I sacrifice my golden pocket watch, to fullfill the 'flesh of a god' part. Lastly, we lay the llama pelts, which we took with us - fearing the cold of the night in the Andes - to the other pieces of the sacrifice, in front of the slab. 'That is ridiculous', Henry delivers. 'What comes next? Will Inti step down from the sky and open the door?' 'Do you have a better idea?' 'Maybe not a better one, but at least not so dumb like this unscientific proposal!' I want to respond, but the sound of a shattering rock breaks in. The ground trembles, shakes, and rips. The food and the wool vanish in a dark hole, together with dust and gravel. After a moment of shoke, we decide to climb down. Henry takes his rope, and after a while, we abseil in the darkness. The spark of a torch later, we stare at corridors, stairs, different floors and bizarre constructions. I never saw such an amazing compilation of dizziyng architecture.;;;;;;;;;;;;x;
EVTNAME201060;Donwstairs;;;;;;;;;;;;x;
EVTDESC201060;After a hard downfall, we realize, that we are cought in a pit. I grab the torch, fire is enlightning the environment again. 'Henry?' 'Yes?' 'Why is the ground moving?' Silence follows. I lower the torch - we are surrounded by snakes!;;;;;;;;;;;;x;
EVTNAME201061;Upstairs;;;;;;;;;;;;x;
EVTDESC201061;We reach a higher level, following a passage through a tunnel. 'Something seems… similar', I notice. 'What?', Henry asks - following a strange sound, like a switch, which is now activated...;;;;;;;;;;;;x;
EVTNAME201062;It's a Trap!;;;;;;;;;;;;x;
EVTDESC201062;AHHHHHH!' Our screams echoes in the labyrinth, followed by the sound of the gigantic stoneball behind us. At least, we are able to escape in a save corridor.;;;;;;;;;;;;x;
EVTNAME201063;The corridor;;;;;;;;;;;;x;
EVTDESC201063;Reconsidering our situation, taking the corridor was a bold step. Everything seems confusing, and when we go upstairs, it seems that we go downstairs. Each step could be a trap. And there are many different routes we can chose.;;;;;;;;;;;;x;
EVTNAME201064;Lost in the Temple;;;;;;;;;;;;x;
EVTDESC201064;Right. Left. Left. Right. Upstairs. Downstairs. Deadlock. Return. Right. Upstairs. Deadlock. Return. Return. Left. Right. Corridors, scales, floors - everywhere. I give up. We are completly lost in this strange place. There is no exit, no way out!;;;;;;;;;;;;x;
EVTNAME201065;The Sanctuary;;;;;;;;;;;;x;
EVTDESC201065;A wide hall. Symbols and scenes decorate the walls. It seems, that we have left the labyrinth. We look up, to the ceiling, higher than 20 feet. Snakes, made of stone, surround a portal on the other side. He sits on a bench, a plate on his thighs - the food on it, which we 'sacrified'. He is skinny and old. He notices us, but doesn't react. While he is eating, we come nearer. 'Im sure, that behind this portal, there is something very imporant', I say to Henry. 'Clearly. An old, skinny man is guarding it. Every important chambered is guarded ba an old, skinny, mysterious. Hell, he lacks only a long white beard and a crusader-sword!' Henry...', I try to . Henry can become very sarcastic in such situation. 'And he is eating our provision!' 'Please, please... don't be so loud, my ears', quits the old man his meal. 'If you calm down, I'm willing to answer your questions. This is the Temple of the Sun. A holy place. And I'm the guard of the heritage of our progenitors.';;;;;;;;;;;;x;
EVTNAME201066;The Decision;;;;;;;;;;;;x;
EVTDESC201066;It's the duty of my family to protect this place', he begins. 'Since generations, one man in one generation takes it on. The people from the near villages come to this sanctuary, bringing food and clothes, so I can concentrade on my service. But, times are changing. And I can't protect a culture which will die. The young people in the Andes are not interested in our past or our religion.' He stands up, nodding, than he looks to us. 'I know what you want. But do you really know what you want?' 'Oh that is such a cliché. An old mysterious man is protecting an ancient place, all his life, and then, when - casually - two archaeologists come around, he spends time on philosphical phrases...' 'Henry!' 'It is true!', my colleague underlines. The old man grins. 'Anyway', he begins, 'what are you going to do?';;;;;;;;;;;;x;
EVTNAME201067;Temple of the Sun discovered;;;;;;;;;;;;x;
EVTDESC201067;A $COUNTRY_ADJ$ has found the Temple of the sun, a magnificent testimony of Incan art, build under the rule of the last great Inca, Manco Capac II. Wonderful and precious artfeacts were found and brought to the National Museum.;;;;;;;;;;;;x;
EVTDESC201068;A $COUNTRY_ADJ$ has found the Temple of the sun, a magnificent testimony of Incan art, build under the rule of the last great Inca, Manco Capac II. A restricted archaeological area was arranged to prevent other people from this place. The scientists expect new and interesting informations regarding the life of the Inca.;;;;;;;;;;;;x;
EVTDESC201069;A $COUNTRY_ADJ$ has found the Temple of the sun, a magnificent testimony of Incan art, build under the rule of the last great Inca, Manco Capac II. The archaeologists agreed on to leave this place unchanged. It is viewed as a cultural and religious heritage of the local people and will be respected by $COUNTRY$.;;;;;;;;;;;;x;
prussian_constitutionalism;Constitutional Monarchy;;;;;;;;;;;;x;
we_are_italian_for_roman_republic_title;We are Italian!;;;;;;;;;;;;x;
we_are_italian_for_roman_republic_desc;Now that we are free, it is time to reassert our Italian heritage. We must rejoin the motherland!;;;;;;;;;;;;x;
ION_1;Ionian islands;;;;;;;;;;;;x;
vesuvius_observatory_title;The Vesuvius Observatory;;;;;;;;;;;;x;
vesuvius_observatory_desc;Founded in 1841 on the slopes of Mount Vesuvius, the Vesuvius Observatory (Osservatorio Vesuviano) was the first vulcanology institute in the world. King Ferdinand II supported this scientific institution drastically, which became a symbol of an evolving modern geology.;;;;;;;;;;;;x;
pompeji_fiorelli_title;Pompeii;;;;;;;;;;;;x;
pompeji_fiorelli_desc;Since the rediscovery of Pompeii in the 18th century, treasure-hunters, tomb raiders and adventurers have searched for valuable artefacts in the old roman civitas. A new generation of archaeologists, diligent and experienced in new techniques and with a broader consciousness of scientific approaches, awaits to start new excavations. Giuseppe Fiorelli - one of those archaeologists, and a patriot, too - will develop a new kind of conservation and excavation in the campanian fields, from which our nation and science will benefit.;;;;;;;;;;;;x;
pompeji_excavations;The ancient civitas of Pompeii;;;;;;;;;;;;x;
pompeji_excavations_desc;Archaeologic studies in Pompeii enhance our national science and reputation;;;;;;;;;;;;x;
italian_islands_title;The Italian Islands ;;;;;;;;;;;;x;
italian_islands_desc;Historically, the Ionian Islands, Malta and Corsica were parts to the Italian motherland. Corsica belonged to Genoa, Malta to Sicily, the Ionian Islands to Venice and Italian communities are still existant. After the glorious unification of our country and with the great progressions we made, it is time to redeem the last Italian territories, which are still under foreign rule. Viva Italia, viva l'esercito! Va fuori, stranier'!;;;;;;;;;;;;x;
encourage_italian_aircraft_title;Heroes of the Sky;;;;;;;;;;;;x;
encourage_italian_aircraft_desc;In the years after the Great war, Italy had taken an uncommon interest in aviation, which is even more remarkeable because of its lacking industrial capacity. Nevertheless, the unconquered territories of the sky were a field in which Italy - in relation to other countries with much larger ressources - was a leading nation. High esteem by the people and an excessive propaganda formed some of the best pilots of that time, like Italo Balbo. Italian airplanes and seaplanes were famous for establishing records, which are still unbeaten. Well, let the show begin - maybe our Minister of Aviation will be even parodied by the Marx Brothers!;;;;;;;;;;;;x;
galleria_ve_title;Il salotto di Milano;;;;;;;;;;;;x;
galleria_ve_desc;The Galleria Vittorio Emanuele II is the oldest shopping mall in Italy, named after the first King of the united nation. The structure is formed by two glass-vaulted arcades intersecting in an octagon covering the street connecting Piazza del Duomo to Piazza della Scala. The street is covered by an arching glass and cast iron roof, a popular design for 19th-century arcades, such as the Burlington Arcade in London, which was the prototype for larger glazed shopping arcades, beginning with the Saint-Hubert Gallery in Brussels (opened in 1847), the Passazh in St Petersburg (opened in 1848), or the Budapest Galleria. The Milanese Galleria was larger in scale than its predecessors and was an important step in the evolution of the modern glazed and enclosed shopping mall, of which it was the direct progenitor.;;;;;;;;;;;;x;
repubblica_di_venezia_title;The Republic of Saint Mark;;;;;;;;;;;;x;
repubblica_di_venezia_desc;Since the times of our roman ancestors, Venice has been a republic. This monarchic regime is a shame for our glorious history. The people of Saint Mark are not the salves of a king! Let's reinstitute the Serenisima - Viva Venezia, Viva San Marco!;;;;;;;;;;;;x;
venetian_ambition_title;The Lion Roars!;;;;;;;;;;;;x;
venetian_ambition_desc;The days of suffering are over. Venice has risen to power, again. The old glory of Saint Mark has been restored, and our new role in the world gives us the possibility to regain the feathers in our wings. We won't pe surpressed anymore, this will be beginning on the road of our destiny. The Serenissima should strive for the shape it had before the napoleonic invasion. We will return! Par tera, par mar - San Marco!;;;;;;;;;;;;x;
AUS_734;Südtirol;;;;;;;;;;;;x;
PROV734;Trient;;;;;;;;;;;;x;
italian_dalmatia_title;Reintroduce Italian Names in Dalmatia!;;;;;;;;;;;;x;
italian_dalmatia_desc;We should rename the cities at the dalmatian coast and give them Italian names. They sound much better and reflect the glory of our nation.;;;;;;;;;;;;x;
south_slavic_dalmatia_title;Slavic names for a Slavic Coast!;;;;;;;;;;;;x;
south_slavic_dalmatia_desc;We should rename the cities on the dalmatian coast and give them Italian names. They sound much better and reflect the glory of our nation.;;;;;;;;;;;;x;
italian_trentino_title;The Trentino is Italian!;;;;;;;;;;;;x;
italian_trentino_desc;As everyone knows, the natural border of Italy is the Brenner or Brennero. The Trentino always was Italian land, the people Italian, and the cities had Italian names. Considering the part of South Tyrol… well, we will find some fitting names.;;;;;;;;;;;;x;
german_tyrol_title;South Tyrol is german!;;;;;;;;;;;;x;
german_tyrol_desc;As everyone knows, the natural border of Germany is the Adige or Etsch. South Tyrol always was german land, the people german, and the cities had german names. Considering the part of the Trentino… well, we will find some fitting names.;;;;;;;;;;;;x;
codificazione_estense_title;Codificazione estense;;;;;;;;;;;;x;
codificazione_estense_desc;Modena was a duchy with many different parts, considering the long history of seperated Italian states. Different territories, like Guastalla or Massa, which were independent for centuries, but later fell through inheritance to the duchy, had a different civil law and crime code in the same state. The Codificazione estense was a process of reform - with a view to establish a new code - and was initiated by Duke Francesco V of Habsburg-Este.;;;;;;;;;;;;x;
EVTNAME202000;The Five Days of Milan;;;;;;;;;;;;x;
EVTDESC202000;Milan, capital of the Kingdom of Lombardy-Venetia and our most important foothold in Italy is occupied by rebells! Italian patriots have observed the ongoing unrest in our country and drove our garrisons out of the city. Popular uprisings are spreading in our Italian depencies, building barricades, raising flags with the Italian tricolore, and shouting their battle-cry for an unified Italy. After five days, the last Austrian soldier had to draw back. Our men fought bravely, but we had no chance - these rude traitors are now in complete control of the capital of Lombardy, celebrating these 'Five Days of Milan'. This may be the beginning of a dangerous turn in our Italian politics!;;;;;;;;;;;;x;
EVTOPTA202000;Send Radetzky!;;;;;;;;;;;;x;
EVTOPTB202000;We have no choice but to let them go.;;;;;;;;;;;;x;
EVTOPTA202003;Abdicate and make peace to prevent damage;;;;;;;;;;;;x;
EVTOPTB202003;We will never surrender! Viva il Re!;;;;;;;;;;;;x;
EVTOPTA202001;We will intervene. Long live Italy!;;;;;;;;;;;;x;
EVTOPTB202001;It is too dangerous.;;;;;;;;;;;;x;
EVTNAME202001;A Sardinian Intervention?;;;;;;;;;;;;x;
EVTDESC202001;In $YEAR$ revolutionary riots broke out in numerous places of Italy, as well in many other parts of Europe. Charles Albert in Piedmont  had been forced to make concessions to the democrats. With Vienna itself in revolt, both Milan  and Venice, the main cities of the Kingdom of Lombardy-Venetia, under Austrian rule, revolted. The situation was favorable for Sardinia, which would see the full support of the lombard patriots in Milan, if they intervened.;;;;;;;;;;;;x;
EVTOPTA202002;Rebels! Traitors! Bloody Italian Scum!;;;;;;;;;;;;x;
EVTNAME202002;The Italian War of Independence;;;;;;;;;;;;x;
EVTDESC202002;In $YEAR$ revolutionary riots broke out in numerous places of Italy, as well in many other parts of Europe. Charles Albert in Piedmont  had been forced to make concessions to the democrats. With Vienna itself in revolt, both Milan  and Venice, the main cities of the Kingdom of Lombardy-Venetia, under Austrian rule, revolted. The situation was favorable for Sardinia, which would see the full support of the lombard patriots in Milan. The Kingdom decided to exploit the moment, and attacked the weakened Austria in her Italian possessions. After a plebiscite, Milan was annexed by Sardinia, and a combined army beat the Austrians at Pastrengo. The War of Italian Independence had begun.;;;;;;;;;;;;x;
EVTNAME202003;The Fall of Milan;;;;;;;;;;;;x;
EVTDESC202003;The Fall of Milan was a huge blow to the Piedmontese army. The way to Turin lay open, Austrian forces had been reorganized and had rotted most of our armies. Sardinia is in a very delicate situation, and the total collapse of the country was imminent if the Austrians pressed their advance. The King, Charles Albert, has proposed that he abdicate the throne and return the provinces in Lombardy to Austria, in return for the return to the status quo;;;;;;;;;;;;x;
EVTNAME202004;Austria Wins the Italian War of Independence;;;;;;;;;;;;x;
EVTDESC202004;The Piedmontese ambitions have ended in a crushing defeat. The King of Sardinia has abdicated, Milan returned under rightful Austrian rule, and peace has been restored. The failure of nationalistic forces has been a huge setback for any potential union of Italian states. This is a glorious day for Austria!;;;;;;;;;;;;x;
EVTNAME202005;The Kingdom of Lombardy-Venetia;;;;;;;;;;;;x;
EVTDESC202005;A delegation of Italian nationalists, led by a man called Daniele Manin, has petitioned the congregation of Venetia regarding a 'Constitution', 'Independence of the Italian Kingdom' and other, trivial matters, regarding liberalism and democracy. Such ideas are rising in the Italian provinces. Cultural life in Milan and Venetia is full of propaganda against the government, and it seems, that Italian insolence has reached a new peak.;;;;;;;;;;;;x;
EVTNAME202006;Repubblica di San Marco;;;;;;;;;;;;x;
EVTDESC202006;After existing as an independent maritime republic for 100 years and a leading naval power in the Mediterranean for most of that time, the Republic of Venice surrendered to Napoleon during the French Revolutionary Wars in 1797 and was ceded to the Austrian Empire (as the kingdom of Lombardy-Venetia) by the Treaty of Campo Formio a few months later. Austrian rule, after realising that mutually-agreeable home rule would not be possible, exploited Venetian resources, economically and politically, favouring Trieste as the imperial seaport. Within 50 years of their acquisition of the former republic, Austria had taken 45 million Austrian lire more from the region than had been spent there and Venetian capitalism had been stifled by a reluctance on the part of the slow, bureaucratic Habsburg régime to grant credit to Venetian entrepreneurs. In the chaos of the springtime of nations,  Daniele Manin entered the Venetian Arsenal with 'a number of public-spirited Venetians', in a direct challenge to Austrian rule.;;;;;;;;;;;;x;
EVTNAME202007;The Serenissima is Back;;;;;;;;;;;;x;
EVTDESC202007;After 50 years of occupation, of humilation and ignorance, the day of salvation has come. The streets are filled with weeping old people, which saw the gonfalon, the banner with the winged lion in their days of youth, and now - once again - see him shining in the sun of a new future. The songs of our fathers are sung again, and the cry 'Viva San Marco!' is not prohibited anymore.Long live Venice, long live Saint Mark, long live the glory of our lion. Our patronsaint has rescued us, he didn't forget his own people - Venice, our beloved home, is free!;;;;;;;;;;;;x;
EVTNAME202008;Italian or Venetian?;;;;;;;;;;;;x;
EVTDESC202008;After the succesful War of Independence, one topic is present in every tavern: the future of Venice. Some want to be unified with Sardinia, becoming later a part of a new united Italian state. Others are more cautios, willing to wait until this new state evolves and the day of decision has come. A last group isn't willing to join any state, underlining, that Venice was and will be independent forever, as it was before.;;;;;;;;;;;;x;
EVTNAME202019;Sardinia Wins the Italian War of Independence;;;;;;;;;;;;x;
EVTDESC202019;This is a great day for nationalists, patriots and all opressed people in the world. The Italian people have won an important victory against Austria. Lombardy is now free from Habsburg oppression and is now under rightful Italian rule, people in Milan and Turin are celebrating, and the nation will remember this day of glory. \n\nHowever, this is just the first step in the heroic strugle for the unification of Italy, we must now turn our eyes to the rest of the peninsula!;;;;;;;;;;;;x;
EVTNAME202020;The Status Quo;;;;;;;;;;;;x;
EVTDESC202020;Sardinia has made a White peace with us. We should claim Milan, because it is still occupied by foreign troops. The international scene will agree.;;;;;;;;;;;;x;
EVTDESC202021;We have made a White peace with Austria. We must return Milan, because it was under Austrian rule before the war. The international scene will be upset, if we don't.;;;;;;;;;;;;x;
EVTNAME202022;Sardinia remains stubborn;;;;;;;;;;;;x;
EVTDESC202022;Sardinia doesn't return Milan - we must take it with force!;;;;;;;;;;;;x;
EVTNAME202024;Consequences;;;;;;;;;;;;x;
EVTDESC202024;The smashing defeat has serious consequences on our country. The abdication of our king provokes unrest. Advisers propose a new approach in our politics.;;;;;;;;;;;;x;
italico_valore;Italico Valore;;;;;;;;;;;;x;
italico_valore_desc;The support from our brothers helps us in our struggle for freedom.;;;;;;;;;;;;x;
EVTNAME202030;Inno delle nazioni;;;;;;;;;;;;x;
EVTDESC202030;For a musical jubilee, which was part of the International Exhibition of $YEAR$, the Italian composer Giuseppe Verdi prepared a cantata, called 'Inno delle nazione' (Hymn of the Nations), including  different hymns, representing three european countries: Great Britain (God save the King), France (La Marseillaise) and Italy (Fratelli d'Italia). The Inno delle nazione exalted the brotherhood of man, and became a huge success, when it was performed, making a lasting impression. This was not only true concerning Verdi's talent, but also true for the young nation state of Italy, which became a part of international affairs.;;;;;;;;;;;;x;
EVTNAME202009;Giuseppe Mazzini;;;;;;;;;;;;x;
EVTDESC202009;Giuseppe Mazzini, nicknamed 'The Beating Heart of Italy' was an Italian politician, journalist and activist for the unification of Italy. Mazzini was a member of the Carbonari, a secret association with political purposes. Later, he went to Marseille, where he became a popular figure to the other Italian exiles. He organized a new political society called La giovine Italia (Young Italy). Young Italy was a secret society formed to promote Italian unification. Mazzini believed that a popular uprising would create a unified Italy, and would touch off a European-wide revolutionary movement. Young Italy counted ca 60,000 adherents in 1833, with branches in Genoa and other cities. In that year Mazzini launched a first attempt of insurrection in Sardinia, which failed.  He organized another uprising for the following year. A group of Italian exiles were to enter Piedmont from Switzerland and spread the revolution there, and founded a new association with German and Polish refugees, called Young Europe. Austria and Sardinia put pressure on Switzerland to extradite Mazzini.;;;;;;;;;;;;x;
EVTDESC202011;Giuseppe Mazzini, nicknamed 'The Beating Heart of Italy' was an Italian politician, journalist and activist for the unification of Italy. Mazzini was a member of the Carbonari, a secret association with political purposes. Later, he went to Marseille, where he became a popular figure to the other Italian exiles. He organized a new political society called La giovine Italia (Young Italy). Young Italy was a secret society formed to promote Italian unification. Mazzini believed that a popular uprising would create a unified Italy, and would touch off a European-wide revolutionary movement. Young Italy counted ca 60,000 adherents in 1833, with branches in Genoa and other cities. In that year Mazzini launched a first attempt of insurrection in Sardinia, which failed.  He organized another uprising for the following year. A group of Italian exiles were to enter Piedmont from Switzerland and spread the revolution there, and founded a new association with German and Polish refugees, called Young Europe. Austria and Sardinia put pressure on Switzerland to extradite him, but Mazzini was able to escape, and moved to London.;;;;;;;;;;;;x;
EVTNAME202012;Mazzini Arrested;;;;;;;;;;;;x;
EVTDESC202012;Today, Giuseppe Mazzini - a figurehead of the nationalistic movements across Europe - was arrested by Sardinian policemen.;;;;;;;;;;;;x;
EVTNAME202013;Mazzini remains in exile;;;;;;;;;;;;x;
EVTDESC202013;We were not able to get Mazzini. He remains in exile.;;;;;;;;;;;;x;
EVTNAME202014;Pius IX;;;;;;;;;;;;x;
EVTDESC202014;The conclave of 1846, following the death of Pope Gregory XVI (1831–46), took place in an unsettled political climate within Italy. Because of this, many foreign Cardinals decided not to attend the conclave. At its start, only 46 out of 62 cardinals were present. Moreover, the conclave of 1846 was steeped in a factional division between conservatives and liberals. Faced with deadlock, liberals and moderates decided to cast their votes for Mastai-Ferretti in a move that contradicted the general mood throughout Europe. By the second day of the conclave, on 16 June 1846, during an evening ballot, Mastai-Ferretti was elected Pope.  As liberal Europe applauded his election, he introduced political reforms on a broad scale. For the next twenty months after the election, Pius IX was the most popular man on the Italian peninsula, where the exclamation 'Long life to Pius IX!' was often heard. His initial policies created quite a sensation among Italian patriots, both at home and in exile.;;;;;;;;;;;;x;
EVTNAME202015;The Roman Republic;;;;;;;;;;;;x;
EVTDESC202015;As a liberal and aware of the political pressures within the Papal States, his first act of a general amnesty for political prisoners did not consider its potential implications and consequences: The freed revolutionaries merely resumed their previous activities and his concessions only provoked greater demands as patriotic Italian groups sought not only a constitutional government, which he was sympathetic to, but also the Unification of Italy under his leadership and a war of liberation against Catholic Austria, which claimed the northern Italian provinces as its own. By early $YEAR$, all of Western Europe began to be convulsed in various revolutionary movements. The Pope, claiming to be above national interests, refused to go to war with Austria, which totally reversed the up to now popular view of him in his native Italy. In a calculated, well-prepared move, Rossi was assassinated on 15 November 1848, and in the days following, the Swiss Guards were disarmed, making the Pope a prisoner in his palace. A Roman Republic was declared.;;;;;;;;;;;;x;
EVTNAME202017;Pius IX Returns;;;;;;;;;;;;x;
EVTDESC202017;The Roman Republic is defeated, the Papacy restored.;;;;;;;;;;;;x;
roman_republic_joins_title;Join Italy!;;;;;;;;;;;;x;
roman_republic_joins_desc;Italy is the fate of Rome, and Rome is the fate of Italy. Let's join our Italian brothers!;;;;;;;;;;;;x;
EVTNAME202033;I Promessi Sposi;;;;;;;;;;;;x;
EVTDESC202033;The Betrothed (orig. Italian: I Promessi Sposi) is an Italian historical novel by Alessandro Manzoni, first published in 1827, in three volumes. Set in northern Italy in 1628, during the oppressive years under Spanish rule, it is sometimes seen as a veiled attack on Austria, which controlled the region at the time the novel was written. I Promessi Sposi was the first Italian historical novel,  a model for subsequent Italian literary fiction and a basis for the modern Italian language. In the early 19th century, there was still some controversy as to what form the standard literary language of Italy should take. Manzoni - originally from Milan - was firmly in favour of the dialect of Florence and, after 'washing his vocabulary on the banks of the Arno' (as he put it), he revised the novel's language for its republication in 1842.  Many expressions, quotes and names from the novel are still commonly used in Italian, such as Perpetua (meaning a priest's house worker) or 'Questo matrimonio non s'ha da fare' ('This marriage is not to be performed', used ironically) and it is still considered a true masterpiece of world literature.;;;;;;;;;;;;x;
EVTNAME202035;Il Canto degli Italiani;;;;;;;;;;;;x;
EVTDESC202035;Il Canto degli Italiani (The Song of the Italians) is best known among Italians as 'Inno di Mameli' (Mameli's Hymn), after the author of the lyrics, or 'Fratelli d'Italia' (Brothers of Italy), from its opening line. The words were written in $YEAR$ in Genoa, by the then 20-year-old student and patriot Goffredo Mameli, in a climate of popular struggle for unification and independence of Italy which foreshadowed the war against Austria. Two months later, they were set to music in Turin by another Genoese, Michele Novaro. The hymn enjoyed widespread popularity throughout the period of the Risorgimento and in the following decades. The hymn was also printed on leaflets in Genoa, by the printing office Casamara and published on the December 10: the demonstration was officially dedicated to the 101st anniversary of the expulsion of the Austrian powers from the city - in fact it was an excuse to protest against foreign occupations in Italy and induce Carlo Alberto to embrace the Italian cause of liberty. In this occasion the tricolor flag was shown and Mameli's hymn was publicly sung for the first time.;;;;;;;;;;;;x;
EVTNAME202038;The Legacy of Ugo Foscolo;;;;;;;;;;;;x;
EVTDESC202038;"When Italy conquered Rome, the new nation state antagonized the Papacy and was in a permament struggle with the Apostolic See. Italy favored secular movements and a new national spirit to encounter the strong catholic sentiment within the country, emulating the french state. Italian artists, philosophers or scientists were promoted, and Santa Croce in Florence became an equivalent to the Pantheon in Paris. Especially personalities with secular or atheistic views were important, like the famous Italian revolutionary and poet Ugo Foscolo. Foscolo, born on Zakynthos (the venetian Zante) in 1778 was an important figure in this new gallery of ""Secular Saints"", but unfortunately, Foscolo died in Chiswick, Western London, after eleven years of exile in England. In $YEAR$, Italy requested his remains.";;;;;;;;;;;;x;
EVTNAME202040;The Foscolo Crisis;;;;;;;;;;;;x;
EVTDESC202040;These mint-sauce-smelling british bastards, these sons of a one-leg cow - they won't give us Foscolo!;;;;;;;;;;;;x;
EVTNAME202041;Foscolo returns!;;;;;;;;;;;;x;
EVTDESC202041;In $YEAR$, Foscolo's remains were brought to Florence, at the request of Italy, and with all the pride, pomp and circumstance of a great national mourning, found their final resting-place beside the monuments of Machiavelli and Alfieri, of Michelangelo and Galileo, in the church of Santa Croce, the pantheon of Italian glory he had celebrated in Dei sepolcri. Long live Italy, long live the United Kingdom!;;;;;;;;;;;;x;
EVTNAME202042;First wireless transatlantic transmission;;;;;;;;;;;;x;
EVTDESC202042;At the turn of the 20th century, the Italian inventor Guglielmo Marconi began investigating the means to signal completely across the Atlantic, in order to compete with the transatlantic telegraph cables. Marconi established a wireless transmitting station at Marconi House, Rosslare Strand, Co. Wexford in 1901 to act as a link between Poldhu in Cornwall and Clifden in Co. Galway. He soon made the announcement that on 12 December 1901, using a 152.4-metre (500 ft) kite-supported antenna for reception, the message was received at Signal Hill in St John's, Newfoundland (now part of Canada) signals transmitted by the company's new high-power station at Poldhu, Cornwall. In $YEAR$, Marconi built a station near South Wellfleet, Massachusetts that sent a message of greetings from Theodore Roosevelt, the President of the United States, to King Edward VII of the United Kingdom, marking the first transatlantic radio transmission originating in the United States.;;;;;;;;;;;;x;
EVTNAME202045;La Mole Antoniellana;;;;;;;;;;;;x;
EVTDESC202045;The Mole Antonelliana is a major landmark building in Turin. It is named for the architect who built it, Alessandro Antonelli. The building was conceived and constructed as a synagogue. The Jewish community of Turin - with a budget of 250,000 lire and the intention of having a building worthy of a capital city - hired Antonio Antonelli. Antonelli promised  to build a synagogue for 280,000 lire. The relationship between Antonelli and the Jewish community was not happy. He proposed a series of modifications which raised the height to 167 meters, over 46 meters higher than the dome in the original design. Such changes, in addition to greater costs and construction time than were originally anticipated, did not please the Jewish community and construction was halted in 1869, with a provisional roof. The people of Turin, who had watched the synagogue rise skyward, demanded that the city take over the project. The state considered to establish a museum dedicated to the Italian unification, reflecting the greatness of the Risorgimento - in one of the highest buildings of Europe.;;;;;;;;;;;;x;
EVTNAME202046;Macchi M.C.72;;;;;;;;;;;;x;
EVTDESC202046;The Macchi M.C. 72 was an experimental seaplane designed and built by the Italian aircraft company Macchi Aeronautica. The M.C. 72 was built in 1931 with the idea of competing for what turned out to be the final Schneider Trophy race, but due to engine problems, the M.C. 72 was unable to compete. For two years, the M.C. 72 suffered from many mechanical defects, as well as the loss of two test pilots who died trying to coax world class speed out of the M.C. 72. After 35 flights, the engines were overhauled in preparation for a record attempt. The aircraft finally lived up to expectations when it set a new world speed record on 10 April 1933, with a speed of 682 km/h. Not satisfied, development continued as the aircraft's designers thought they could break 700 km/h with the M.C. 72. This feat was in fact achieved on 23 October 1934, when Agello piloted the M.C. 72 for an average speed of 709 km/h over three passes. The M.C. 72 held the world speed record for all aircraft for five years and remained the fastest speed ever attained by a piston-engine seaplane - until today.;;;;;;;;;;;;x;
EVTNAME202047;A Visit in Venice;;;;;;;;;;;;x;
EVTDESC202047;In $YEAR$, the Emperor and the Empress of Austria visited Venice. The city was still aware of its lost independence, and nationalistic movements were around. In fact, the windows were locked and the streets empty. The Serenissima prepared a cold reception. Franz Josef mentioned later, that the silence 'killed more than a bullet'.;;;;;;;;;;;;x;
EVTNAME202048;St Mark's Campanile;;;;;;;;;;;;x;
EVTDESC202048;St Mark's Campanile (Campanile di San Marco in Italian) is the bell tower of St Mark's Basilica in Venice, located in the Piazza San Marco. It is one of the most recognizable symbols of the city. In July 1902, the north wall of the tower began to show signs of a dangerous crack that in the following days continued to grow. Finally, on Monday, July 14, around 9:45 am, the campanile collapsed completely, also demolishing the logetta. Remarkably, no one was killed, except for the caretaker's cat. Because of the campanile's position, the resulting damage was relatively limited. Apart from the logetta, only a corner of the Biblioteca Marciana was destroyed. The pietra del bando, a large porphyry column from which laws used to be read, protected the basilica itself. Nevertheless, the loss of one of the greatest symbols of old Italian culture was discuessed in the whole nation.;;;;;;;;;;;;x;
EVTNAME202049;The Death of Leopardi;;;;;;;;;;;;x;
