
famine;Provincial Famine;;;;;;;;;;;;;
EVTOPTB211480;That's enough of this nonsense;;;;;;;;;;;;;
NEWS_cinchona;The Dutch Break Peruvian Medicine Monopoly;;;;;;;;;;;;;
NEWS_cinchona_long;Peruvian governmental official reacted with surprise and outrage today, after the Dutch government announced yesterday that it had successfully imported the Cinchona tree into their colony in the East-Indies. Stocks of this tree, whose bark is vital for the production of malaria medicine, have long been by overexploitation overexploitation, causing anxiety worldwide due to possible supply shortages. The Dutch breaking the Peruvian monopoly on this tree is welcomed by many around the world, as it is hoped to lead to a more stable supply of this strategic good.;;;;;;;;;;;;;
NEWS_cinchona_medium;Tensions rise between the Dutch and Peruvian government after the Dutch government announced yesterday to have broken the Peruvian monopoly on Cinchona, a tree vital for the production of malaria medicine, and under severe treat of extinction under Peruvian overexploitation.;;;;;;;;;;;;;
NEWS_cinchona_short;The Dutch government announced yesterday they have broken the Peruvian monopoly on the Cinchona tree, a tree vital for the production of malaria medice.;;;;;;;;;;;;;
DIM_pil_bandoeng_title;The Pill Bandoeng;;;;;;;;;;;;;
DIM_pil_bandoeng_desc;\n\nMalaria is an ever present danger in the tropical regions of the world. There are few effective treatments for the disease, and those which do exist are expensive. Our control over the production of Quinine from the Cinchona tree has given our citizens abundant and relatively cheap access to the medicine. However, the inlander population has been unable to profit from this, and continues to be ravaged by the disease. A bill has been proposed in parliament to fund the construction of a large Quinine factory on Java. This factory will be specifically to supply the natives with this important medicine, and extend the benefits of Dutch civilization to them.;;;;;;;;;;;;;
EVTOPTA211800;A worthy investment;;;;;;;;;;;;;
EVTOPTB211800;The Indies only serve to profit us!;;;;;;;;;;;;;
DIM_stovia_title;The School tot Opleiding van Inlandsche Artsen;;;;;;;;;;;;;
DIM_stovia_desc;\n\nWe have always kept medical professions in the Indies a strictly western affair. There have been hospitals and doctors for inlanders, but never any inlander doctors and physicians. This has obviously had a negative effect on the access to modern medical care for inlanders. Most are now surrendered to the whims of the dukuns, and the magic and superstition they perpetrate. To combat this, and improve the plight of our colonial subjects, it has been suggested we start training inlanders in the medical profession.\n\nA second inlander medical, the Nederlandsch-Indische Artsen School or N.I.A.S., would later be founded in Soerabaja.;;;;;;;;;;;;;
EVTOPTA211801;All right, but only train them for the more menial tasks;;;;;;;;;;;;;
EVTOPTB211801;Train them to be actual doctors;;;;;;;;;;;;;
DIM_sell_NHM_title;Sell Stock in the Nederandsche Handel-Maatschappij;;;;;;;;;;;;;
DIM_sell_NHM_desc;The Nederlandsche Handel-Maatschappij (Netherlands Trading Society) was founded on the orders of king William I to 'stimulate trade, shipping, shipyards, fishing, construction and agriculture.' However it quickly grew as a major trading company, and, from the profits of the trade, into a major banking house. Through the king the state still holds a substantial share of the company. With the recent expansion of the company into the banking business, the value of the our share has sky rocketed. \n\nIf we are in desperate need of cash, we can sell our share of the company. However, it will result in less influence in the future of the company.;;;;;;;;;;;;;
DIM_kleine_compagnie_title;The 'Kleine Compagnie';;;;;;;;;;;;;
DIM_kleine_compagnie_desc;\n\nThe Nederlandsche Handel-Maatschappij, founded to reinvigorate Dutch trade, has had a major influence on the trade with the East Indies. Due to its effectiveness in trading the goods produced under the Cultuurstelsel, the company has managed to reinvigorate our economy, and our that of our colony. It is so effective that, in reverence of the older and greater Vereenigde Oostindische Compagnie, the inlanders have started refering to the company as the 'Kleine Compagnie' (the little company).;;;;;;;;;;;;;
DIM_tabacco_betuwe_title;Tobacco Cultivation in the Netherlands;;;;;;;;;;;;;
DIM_tabacco_betuwe_desc;\n\nFarmers in the countryside of Gelderland and southern Utrecht long have had a proud tradition of tobacco growing, dating back to the 1620s. The industry has declined somewhat from its height in the 18th century, yet remains an important economic sector to this day, even showing a sort of resurgence in the past few decades. \n\nHowever, the industry is threatened by imports from the colonies - not only do the rich alluvial plains of Sumatra provides better soil and climate conditions for the growth of tobacco, the labor situation gives the colonies a distinct advantage as well. The future of the tobacco cultivation will have be decided in the near future, and the issue has become a major electoral issue in the region.;;;;;;;;;;;;;
EVTOPTA211476;Finance the conversion into orchards.;;;;;;;;;;;;;
EVTOPTB211476;Protectionism is the solution.;;;;;;;;;;;;;
EVTOPTC211476;The free market is harsh.;;;;;;;;;;;;;
DIM_raden_saleh_title;Raden Saleh;;;;;;;;;;;;;
DIM_NET_raden_saleh_desc;Raden Saleh, a painter of Javanese descent has made quite a name for himself in the courts of Europe. This 'Eastern Prince', a son of a noble family, has studied the modern European painting techniques under our patronage, and is possibly the first oriental to do so. He has shown particular aptitude towards painting portraits, and many a ruler has been immortalized by his work. His landscapes too are a sight to behold. Inspired by his native land, the paintings show exquisite detail in the wild animals he depicts. But perhaps his most important work is his depiction of the capture of Prince Diponegoro at the Java war, provocatively depicting a noble prince Diponegoro and slightly 'unbalanced' colonial officers.;;;;;;;;;;;;;
EVTOPTA211509;A great painter.;;;;;;;;;;;;;
DIM_flood_1855_title;The Flood of 1855;;;;;;;;;;;;;
DIM_flood_1855_desc;\n\nThe dikes along the Rhine river have given way to the water! The severe winter hitting the country has caused an ice dam to form on the river, trapping the water behind it. When the dam finally gave way to the mass of water, it took a substantial part of the dike flanking the river with it. The water has now flooded into the valley along the river, destroying many homes and farms in the process.;;;;;;;;;;;;;
DIM_flood_1861_1_title;The Flooding of the Bommelerwaard;;;;;;;;;;;;;
DIM_flood_1861_1_desc;\n\nThe dikes along the Waal river have given way to the water! Heavy ice had gathered on the river, and an ice dam was spotted forming in a narrowing of the river near the village of Vuren. Despite the best efforts of the local resides, it had proven impossible to remove the ice dam. With the ice dam not budging, it was only a matter of time before the dikes would be breached. Luckily, no-one was killed, but the material damage is substantial.;;;;;;;;;;;;;
DIM_flood_1861_2_title;The Flooding of the land of Maas and Waal;;;;;;;;;;;;;
DIM_flood_1861_2_desc;\n\nDue to ice blocking the flow of the river, the Waal river breached the dikes protecting the 'Land of Maas and Waal.' Such is the flow of water into the region, that it has started spilling over the dikes into the Meuse river on the other side. Many people had sought refuge on the fateful dike and were swept away by the water. We have to fear for their lives.;;;;;;;;;;;;;
DIM_flood_1877_title;The Storm Surge of $YEAR$;;;;;;;;;;;;;
DIM_flood_1877_desc;\n\nA great storm has raged over the North Sea. It, combine with springtide, has pushed the water the over North Sea over the dikes protecting the northern regions of our country. Especially hard hit is the Westpolder, an area of land reclaimed from the sea only last year.;;;;;;;;;;;;;
DIM_flood_1906_title;The Great Storm Surge of $YEAR$;;;;;;;;;;;;;
DIM_flood_1906_desc;\n\nHurricane force winds have pushed the water on the Scheldt river up to 7.5 meters above its normal level. Far greater than the dikes were ever designed to carry. Especially the region around Antwerp has been hit hard. Vast swaths of land have been flooded, and, due to the tidal nature of the Scheldt, reparations have proven difficult. As with each new tide new water flows through the breaches in the dikes. Until the dikes are repaired it will be impossible to pump all the water out.;;;;;;;;;;;;;
DIM_flood_1916_title;The Storm Surge of $YEAR$;;;;;;;;;;;;;
DIM_flood_1916_desc;\n\nA storm tide and high river run-off have conspired together to flood the countryside. Great swaths of land around the Zuiderzee have flooded as a result of dikes breaching under the heavy load of water they were exposed to.;;;;;;;;;;;;;
DIM_flood_1926_title;The Flooding of the Meuse;;;;;;;;;;;;;
DIM_flood_1926_desc;\n\nDue the size of the snow fall in Europe last winter, and the fact that it has started melting, had pushed the water level of the Meuse river to historical levels. While critical, the dikes held. However, the run-off of the recent abundant rains have proven to much for the dikes, and water has now started flowing into the southern regions of the country.;;;;;;;;;;;;;
EVTOPTFLOOD;My heart is with the people.;;;;;;;;;;;;;
DIM_NET_dagbladzegel_title;The Dagbladzegel;;;;;;;;;;;;;
DIM_NET_dagbladzegel_desc;\n\nSome say the Dagbladzegel (The Newspaper Tax) has had its day, and voices are being raised to abolish it. The tax was originally introduced by Emperor Napoleon, and it has proven a useful tool to control public opinion. The steepness of the tax (up to half of the price of the newspaper) has ensured that only the wealthy read the papers, and no new radical papers would be founded.\n\nA new bill has been brought to parliament to abolish the tax. What course of action shall be taken?;;;;;;;;;;;;;
EVTOPTA211600;The 'Dagbladzegel' is abolished;;;;;;;;;;;;;
EVTOPTB211600;The 'Dagbladzegel' is maintained;;;;;;;;;;;;;
DIM_NHM_collapse_title;Collapse of the Nederlandsche Handel-Maatschappij;;;;;;;;;;;;;
DIM_NHM_collapse_desc;\n\nThe Nederlandsche Handel-Maatschappij has become as long way from a rather simple majority government owned trading company to the banking juggernaut it has become today. Run from their office in Amsterdam, the Nederlandsche Handel-Maatschappij runs a financial empire unrivaled in the world. Unfortunately this has brought a sense of immortality and arrogance with it. Due to this the company has become over-invested in some markets and projects, which left it without a sufficient cash flow to cover its debt. While under normal circumstance this would be covered by the equity, the recent stock market crash has wiped away all equity of the company. Unable to cover its debts the company is now at the verge of bankruptcy and is threatening to take the whole country with it. An emergency session of cabinet has been convened, and the country eagerly awaits its decision regarding this matter.;;;;;;;;;;;;;
DIM_NHM_banking_title;Nederlandsche Handel-Maatschappij Banking;;;;;;;;;;;;;
DIM_NHM_banking_desc;\n\nWith the current economic situation, the Nederlandsche Handel-Maatschappij has made an interest to becoming a banking company instead of just a trading company. The company assures us this would be profitable, but due to the government's majority shares in the company, we can stop this if we so choose.;;;;;;;;;;;;;
DIM_NHM_banking2_desc;\n\nAgain, the Nederlansche Handel-Maatschappij has a proposal to expand further into banking. So far, this has not caused many issues, but if a significant economic crash were to happen, the whole company could be at risk. What should our response be?;;;;;;;;;;;;;
