schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
VENDEEETCHOUANNERIE;Legitimist sentiment is rising in the departement of the Vendée, within Brittany. Legitimists pledge allegiance to the House of Orléans as the rightful heir to the monarchy, and are willing to attack French forces to see the installment of an Orléans dynasty through. Charles X, who was exiled to Scotland following the July Revolution, has given up on reclaiming the throne. It has thus been concluded that his daughter-in-law, Marie-Caroline de Bourbon-Siciles, must be orchestrating the unrest, for she has been promoting her young son Henri's claim to the throne.;;;;;;;;;;;;;
VENDEEETCHOUANNERIESTARTS;The struggle against the Legitimist rebels in the Vendée has escalated to open combat. Troops must now rally to engage the rabble! Legitimist generals like Louis de Bourmont and Charles de Beaumont d'Autichamp who left France when king Louis Philippe took the throne have returned to spearhead the revolt. But however good its generals may be, the rebellion is comprised of the very conservative rural populace of the region who have little to no experience in combat. Additionally, the rebels lack guns and ammunition which they had hoped to get in the form of foreign support of which there is none forthcoming. \n§RNOTE: Merge the armies that spawn after this event!§W;;;;;;;;;;;;;
VENDEEETCHOUANNERIEBOR;The Legitimist revolution is a success. France now has a new king: Henri of Orléans, former Duke of Chambourd. Henri was not in the line of succession for the throne under the current Bourbon dynasty, though his mother, Marie-Caroline, Duchess of Berry, resented his exclusion. This is because Henri's birth to his two members of the Bourbon-Two Sicilies house created a perfect line of descendence from King Louis XVI, the first French Bourbon monarch. Thus, Marie-Caroline considers Henri the rightful king and herself regent. She collaborated with Legitimist militants to install her son--and the results now speak for themselves.;;;;;;;;;;;;;
VENDEEETCHOUANNERIEFRA;The Duchess of Berry has been connected to the now-defeated Legitimist insurrection in the Vendée. Having resented her son Henri's not being in the line of succession on the French throne, she collaborated with militants to see Henri installed. Her resentment is driven by how Henri is directly descended from King Louis XVI, and also has a mother from his same royal house. Because of this, some legitimists see Henri as the rightful king, after the abdications of Charles X and Louis Antoine. \n\nThe Duchess was arrested today and will remain incarcerated for the foreseeable future.;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_FRA_BOR;The War in the Vendée and Chouannerie of 1832;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_FRA_BOR;The War in the Vendée and Chouannerie of 1832;;;;;;;;;;;;;
webley_n_scott_title;Webley & Scott;;;;;;;;;;;;;
webley_n_scott_desc;The Webley company was founded in the late 18th century by William Davies, who made bullet moulds. It has now been taken over by his son-in-law, Philip Webley, who has begun producing percussion sporting guns. With this specialisation in handgun manufacturing, Webley and Scott has the potential to become a major supplier of firearms to our armed forces.;;;;;;;;;;;;;
malones;Malones;;;;;;;;;;;;
malones_desc;The Malones are raids carried out by Mapuche warriors, who raid frontier settlements on horseback to obtain horses, cattle, provisions, and captives, often young women.;;;;;;;;;;;;
desert_campaign_malones_title;The Desert Campaign;;;;;;;;;;;;;
desert_campaign_malones_desc;Under the military command of our former national leader, Juan Manuel de Rosas, Argentina has finally taken the initiative to expand her borders into the desert in the southern Pampas and northern Patagonia. These lands are the homes of indigenous tribes such as the Mapuche and Ranqueles, whom we experience friction with due to frequent border raids on our territories by them. The campaign has several front lines, spanning from the Atlantic Ocean to the Andes. By its end, we will have subjugated the Indians and expanded our domain to allow immigrants to settle in its heretofore untamed frontiers.;;;;;;;;;;;;;
KAAHUMANU;Following the death of Kamehameha II during his visit to England, Queen Ka'ahumanu became the regent of Hawai’i. The favorite wife of Kamehameha I, the founder of the kingdom, she wields a great amount of influence in the kingdom as she reigns over the minority of her stepson Kamehameha III. \nA devout Christian ever since her conversion in 1824, she has been notable for stamping out pagan practices in the islands.;;;;;;;;;;;;
AGAINSTANIMISTS;Today, the Kuhina Nui has proposed an edict against a range of Hawaiian religious practices, including the worship of idols, the consumption of the intoxicating ‘awa plant, and the Hula dance. \nIn effect, she proposes to outlaw native Hawaiian religion entirely. Although well supported by the priests and ruling chiefs, this move would be despised by much of the peasantry and traditionalist elements of the islands...;;;;;;;;;;;;;
KAAHUMANUDIES;The Kuhina Nui, Ka’ahumanu, has died at the age of sixty-four. Both feared and beloved in life, her regency passes now to her step-daughter and daughter-in-law Kina'u. Many Hawaiians sill aligning with their native beliefs have breathed a sigh of relief at this news.;;;;;;;;;;;;;
LADDANDCOMILL;European industrialists, spurred on by our openness to western investment, have built a sugar plantation on the island of Kauai. As the sandalwood trade declines, many see sugar and fruit production as the economic future of our kingdom.;;;;;;;;;;;;
LONDONCONFERENCESTARTS;France, Russia and the UK have finished a conference in London to definitively delineate our borders and establish a permanent government. Their decision was to move our border a bit further North to the so-called Arta-Volos line and to install a Catholic Bavarian prince by the name of Otto Friedrich Ludwig von Bayern. Another demand of the three guarantors is the final abolition of slavery in Greece. While this agreement would hand a significant amount of currently Ottoman land to us, having a German Catholic on our throne is almost unacceptable. However, if we refuse to abide by the conference's terms, our former guarantors may abandon us in the event of an Ottoman attack.;;;;;;;;;;;;;
LONDONCONFERENCE1832;France, Russia and the UK have finished a conference in London to establish a permanent government in Greece and definitively delineate its borders. Their decision was to move the border a bit further North to the so-called Arta-Volos line and install a Catholic Bavarian prince by the name of Otto Friedrich Ludwig von Bayern. This means that we would lose even more land to the Greeks than had previously already been agreed on in the convention of 1830. However, if we refuse to conform to the will of the three guarantors of Greek independence, they will surely support Greek expansion.;;;;;;;;;;;;;
LONDONCONFERENCENOGRE;The Ottomans have refused to turn over the land they were made to hand over per the London Conference, instead launching an invasion to end our independence. The great powers will surely aid us in the coming conflict.;;;;;;;;;;;;;
LONDONCONFERENCENOGPS;We and the other two great powers guaranteeing Greek independence held a conference in London to establish Greece's permanent government and definitively delineate its borders. In lieu of this, the three guarantors--Russia, France and the UK--decided to install Otto Friedrich Ludwig von Bayern as the Greek king and extend the border North to the so-called Volos-Arta line. This has, however, infuriated the Ottomans, who refuse to amend the more favorable border agreed on in 1830. They have begun a full-scale invasion of Greece, and it is our duty to protect it.;;;;;;;;;;;;;
LONDONCONFENOGPSTUR;The Greek government has refused to abide by the terms of the London Conference in which France, Russia and the UK, the three guarantors of Greek independence, agreed on Greece's final borders and form of government. The insistance on having a Bavarian catholic be installed on the Greek throne was simply unacceptable. However, by rejecting the terms of the powers that had had its back, Greece has foolishly lost its international protection. We can use this opportunity to declare war on them to put an end to Greek independence.;;;;;;;;;;;;;
LONDONCONFEYESBUTNOGPS;We and the other two great powers guaranteeing Greek independence held a conference in London to establish Greece's permanent government and definitively delineate its borders. In lieu of this, the three guarantors, Russia, France and the UK, decided to install Otto Friedrich Ludwig von Bayern as Greek king and to extend the border North to the so-called Volos-Arta line. This has, however, infuriated the Greeks, who refuse to have a catholic Bavarian be put on their throne. With the Greeks having refused to abide by our resolution, if the Ottomans were to attack them, we would have no basis to intervene.;;;;;;;;;;;;;
AGRESSION_WAR_TREATY_PORT_CASUS_BELLI_NO_INFAMY_NAME_FRA_RGA;The Capture of Bône;;;;;;;;;;;;;
NORMAL_WAR_TREATY_PORT_CASUS_BELLI_NO_INFAMY_NAME_FRA_RGA;The Capture of Bône;;;;;;;;;;;;;
AGRESSION_WAR_TREATY_PORT_CASUS_BELLI_NO_INFAMY_NAME_FRA_ABA;The Capture of Bougie;;;;;;;;;;;;;
NORMAL_WAR_TREATY_PORT_CASUS_BELLI_NO_INFAMY_NAME_FRA_ABA;The Capture of Bougie;;;;;;;;;;;;;
bone_french_war_title;The Capture of Bône;;;;;;;;;;;;;
bone_french_war_desc;We suspect the Ottoman troops in the Algerian city of Bîne are not equipped nor trained well enough to face our army. An ambush on the city's shores could possibly spell victory for us, should we strike swiftly enough and do plenty of reconnaissance beforehand to assist us.;;;;;;;;;;;;;
bougie_french_war_title;The Capture of Bougie;;;;;;;;;;;;;
bougie_french_war_desc;Our success in capturing Bône may well be repeated if we strike at Algeria again. This time, the city of Bougie would be our target. Our battle-hardened troops will surely bring the incompetent Berber troops to their knees in one fell swoop!;;;;;;;;;;;;;
BATTLEOFMACTA;Our troops have been shown the folly of getting too cocky in their battles. After fighting a hard yet inconclusive battle against Emir Adbulkader's troops, the French army retreated toward Arzeu to resupply, when they were ambushed in the marshes by the Macta River. The attacking Arab force managed to force our soldiers to retreat even further, undoing our territorial gains in this war. The military governor of our North African possessions, Comte d'Erlon, has been recalled for this embarassment.;;;;;;;;;;;;;
strasbork_railroad_usa_title;The Strasburg Rail Road;;;;;;;;;;;;;
strasbork_railroad_usa_desc;A railway charter is in order to provide commerce to the Pennsylvania Dutch Country, a rural area home to modestly-living German immigrants. The Strasburg Rail Road will offer a short line through the town of Strasburg, run on steam and diesel locomotives. Trade and industry will greatly benefit from the railway's construction.;;;;;;;;;;;;;
FERDINANDEAISLAND;A mysterious island never seen before has been discovered off the southwestern Sicilian coast. Its discovery was preceded by reports of significant earthquakes and a smell of sulfur pervading the Sicilian town of Sciacca--the following day the Italian brig Gustavo reported a bubbling from the sea that seemed connected enough to the strange occurrences. \n\nWithin a few days, the island had materialized, presumably after surfacing from the ocean. \n\nThis island certainly will be useful for connecting trade routes in the Mediterranean--highly valuable real estate.;;;;;;;;;;;;;
FERDINANDEAISLANDF;As cruel fortune would have it! In the heat of disputes over control of the enigmatic Ferdinandea Island between the UK, France, Sicily, Spain, and France, the island disappeared into the ocean. The island's surface was made of tephra, or soft volcanic material easily swept away by waves. Ferdinandea likely gave out due to wave activity, and its surface retreated below sea level.;;;;;;;;;;;;;
ecuador_const_1830_title;The Ecuadorian Constitution;;;;;;;;;;;;;
ecuador_const_1830_desc;The separation of the Districto del Sur from Gran Colombia birthed the new state of Ecuador. As a former province of that once large yet eventually ungovernable country, we lack a national identity--and a constitution. President Juan José Flores has called a assembly to draft our future constitution to proclaim the State of Ecuador. With this said, our intention is to eventually rejoin a future confederated Colombia as one of its constitutent countries. Thus the constitution will contain no clause contradicting Colombia's constitution.;;;;;;;;;;;;;
ecuador_const_1835_title;The Ecuadorian Constitution of 1835;;;;;;;;;;;;;
ecuador_const_1835_desc;Juan José Flores' authoritarian policies have left him unpopular with the public--so much so that rebellions favoring the ascension of Vicente Rocafuerte to the presidency have broken out, leaving Flores' hands tied. He was forced to agree to handing the presidency to Rocafuerte while appointing himself as chief military commander. This power vacuum leaves us in a constitutional crisis. Our instability makes aspirations to rejoin Colombia impossible, and we must solidify our identity as a sovereign nation. Ecuador shall be independent forever.;;;;;;;;;;;;;
NAPOLEONTHESECONDDIES;The fated heir to Napóleon I's empire passed away today of tuberculosis. \n\nBorn in 1811, Napóleon II had been named Prince Imperial per the French Empire's constitution and was proclaimed King of Rome by his overly proud father. He reigned over France for two weeks after his father's second abdication in 1815, aged only three. The backdrop of the Allies' capture of Paris made an anticlimactic end to his ascension--though he ruled from Austria the entire time while living with his mother. Later he was granted the title of Duke of Reichstadt and was appointed as a cadet in the Austrian army. His military career fascinated and caused apprehension among European leaders, who feared he may usurp the French throne later as an adult. Alas, this never came to be. He died in Vienna's Schönbrunn Palace at 21.;;;;;;;;;;;;;;
AMERICANANTISLAVERYSOCIETY;Slavery's continued existence in the United States continues to face challenges from outspoken critics. The American Anti-Slavery Society, formed by abolitionist journalist William Lloyd Garrison, has grown out of these outcries and vows to do all it can for the abolitionist cause. They are officially pacifist, but its members have signed a pact to show their willingness to become martyrs if necessary. \n\nThe abolitionists know slavery's status quo is slowly crumbling. With the Supreme Court already having proclaimed states cannot nullify federal laws, it is only a matter of time until an abolitionist Congress or president gains power and nationally outlaws slavery. The Anti-Slavery Society wishes in the meantime to appeal to Americans' morals to convince them of slavery's atrocity and sinfulness.;;;;;;;;;;;;;
NEWZEALANDINDEPENDENCE;The Maori people of New Zealand have codified their nationhood in a documet titled "He Whakaputanga o te Rangatiratanga o Nu Tireni"--the New Zealand Declaration of Independence. Thirty-four chiefs drafted and signed the document, creating a "Confederation of United Tribes." They hope to solicit the British for protection against French claims to the island, while also doing away with extraterritoriality the British settlers on the island enjoy. \n\nThe Maori chiefs are thankful for the British crown's efforts to officialize their nationhood by desgining a national flag, allowing them to legally trade with ports in New South Wales and Norfolk Island. But they may be terribly naive as to how willing Britain is to respect the independence of a small island nation ripe for colonizing.;;;;;;;;;;;;;
SIXTHXHOSAWAR;Xhosa border conflicts rage on, with no end in sight, but today's raid on the Cape Colony by the chief Maqoma's army was particularly brutal. They swept across the British settlements along the Keiskamma River, pillaging homes, razing farmland, and killing all those who resisted. The Cape government must mount a swift retaliation if we are to put these raids to an end.;;;;;;;;;;;;;
ARG_prov_gov_conservative;The Unitarian League;;;;;;;;;;;;;
ARC_prov_gov_conservative;The Federal League;;;;;;;;;;;;;
BATTLEOFONCATIVO;La Plata is in an on-off civil war, with armies fighting for control of the virtually non-existent federal government. The conflict's two factions, one supporting unitarianism and the other federalism, clashed today in a battle in Oncativo, Córdoba Province. The Unitarian forces of General José María Paz pushed back the Federalist troops led by Facundo Quiroga, showing potential weakness for the Federalist forces led by Buenos Aires. The Federalists had attempted a march toward the Platine interior through Córdoba. With this foiled, the Unitarians may push into the coast--unless Federalist provincial governors unite in a coalition against them.;;;;;;;;;;;;;
UNITARIANLEAGUE;The general José María Paz has declared the formation of the Unitarian League, or the League of the Interior, comprising all the western interior provinces of La Plata. These provinces' leaders vow to restore the unitarian form of government previously held under Bernardino Rivadavia, our first president. After our war with Brazil, the office of the president was declared in an attempt to consolidate La Plata's constantly feuding provinces, each trying to maintain autonomy under their respective caudillos. Rivadavia's authority was firmly rejected by the other provinces. Our country has been run as a weakly-bound confederacy since then. \n\nIf the League of the Interior succeeds, La Plata will be transformed: we will truly begin to think of ourselves as a nation. Nevertheless, they are a threat. Their belligerance challenges the caudillos' authority--and they will defend their lands to the death.;;;;;;;;;;;;;;
FEDERALPACT;In response to the Unitarian League's formation, the governors of Buenos Aires, Entre Ríos, and Santa Fé have convened to sign the Federal Pact, pledging commitment to preserving the country's federalism. The pact was proposed by the Buenos Aires governor, Juan Manuel de Rosas, a de facto dictator who has enforced his will through a private militia to maintain supremacy over all the other provinces. \n\nEach of the Pact's members enjoys free trade with each other and a pledge of military protection from other provinces' invasions. It goes to show that La Plata's legal status is so far removed from its reality: it is a collection of virtually independent provinces at each others' throats. But if through federalism is how we are destined to survive, so be it.;;;;;;;;;;;;;;
UNITARYLEAGUEWAR;Federalist General Ángel Pacheco has made his first move in an offensive against the Unitarians. His Buenos Aires division landed an ambush on Unitarian troops in the town of Fraile Muerto, in Córdoba province. His troops' tactical upper hand was further guaranteed by how the ambushed division, led by General José María Paz, contained many former Federalist troops who were captured by the Unitarians and forced to fight for their side. These troops then switched sides again and asisted Pacheco's army. Together they are marching through Córdoba, forcing a Unitarian retreat and spelling true peril for their cause.;;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_ARC_ARG;The Argentine Civil War;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_ORDER_NAME_ARC_ARG;The Argentine Civil War;;;;;;;;;;;;;
PAZCAPTURED;The Unitarian cause is now lost. With us having captured the interior, it was only a matter of time before José María Paz would wander into our troops on a reconnaissance mission and be immediately captured. Paz was then delivered to General Estanislao López in Santa Fé, where he is now incarcerated.;;;;;;;;;;;;;;
UNITARIANISMREVIVED;Rivadavia's government is avenged! A Unitarian victory has ensured La Plata will be united again as a centralized state, headed by the president in Buenos Aires. With the country's revival also comes an interest in reclaiming the former territories of our days as a Spanish viceroyalty. The future is teeming with possibilities for La Plata!;;;;;;;;;;;;;;
occupy_falklands_title;Reoccupy the Falklands;;;;;;;;;;;;;
occupy_falklands_desc;The Falkland Islands, or Las Islas Malvinas in Spanish, are a source of great territorial dispute. Having competed with both France and Spain for sovereignty over the islands, we are now left squabbling with the independent Argentine administration over whose countries rightfully deserves to control them. The Falklands' current Argentine governor, Luis Vernet, has ignored our diplomatic protests over the blocking of British fishing rights to the islands' coasts. With him in charge, the Falklands are sure to be consolidated under Argentine control, unless we use the military to retake them.;;;;;;;;;;;;;;
MALVINASSONBRITANICAS;The British brig-sloop HMS Clio, commanded by Captain John James Onslow, docked in Puerto Soledad, Islas Malvinas, today to forcibly capture the islands. Upon arriving, he instructed Admiral José María Pinedo, leader of the Malvinas fleet, to surrender all his ships to Britain and allow the Union Jack to be hoisted on the port's docks. Pinedo contemplated resisting, though his forces' numerical disadvantage made it futile. \n\nThe loss of our territory again, even after our defeat of the Spanish, to European colonialism is an affront to the nation. If there is justice in this world, it will be avenged.;;;;;;;;;;;;;;
bolivia_annexes_peru_title;Invade Perú;;;;;;;;;;;;;
bolivia_annexes_peru_desc;Perú is in anarchy, wracked by an insurgency against acting president Luis de Obregoso by Felipe Salaverry. In desperation to hold onto power, Obregoso has petitioned our general Andrés de Santa Cruz to invade Perú and quash the rebels. This would lead to an upending of Latin America's balance of power: a union between Bolivia and Perú, creating a regional powerhouse.;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_BOL_PEU;The Salaverry-Santa Cruz War;;;;;;;;;;;;;
AGRESSION_WAR_PUPPET_NAME_BOL_PEU;The Salaverry-Santa Cruz War;;;;;;;;;;;;;
INCORPORATIONOFTORONTO;The Lower Canadian town of York has grown into a significant town and, thus, is beginning to emerge as a great city within North America. Situated on a water channel called "Tarontho," between the Lakes Simcoe and Cachinching, and standing in the shadow of Lake Ontario, York makes for an ideal settlement and industrial hub. Thus, the colonial government has deemed it necessary today to incorporate York and its environs into a new city named after the Tarontho channel. The city of Toronto shall serve as a new metropolis, calling to the populace of all of Canada and beyond.;;;;;;;;;;;;;
ottoman_invasion_iraq_title;End Mamluk Rule in Baghdad;;;;;;;;;;;;;
ottoman_invasion_iraq_desc;The Mamluk Dynasty has increasingly autonomously governed Mesopotamia from Baghdad since 1704. While they have imposed order and some degree of economic prosperity in the region, Dawud Pasha, the current Mamluk leader has shown signs of disloyalty. We will not truly have the region under our control unless we depose him and end Mamluk rule once and for all.;;;;;;;;;;;;;
OTTOSINVADEMAMLUKIEAQ;Sultan Mahmud II has dispatched an army to take control of Mesopotamia. With the ongoing centralization of the Ottoman Empire, growing mistrust of Dawud Pasha's rule in Baghdad has long been on the rise in Konstantiniyye. Now that the Ottomans have taken action, we must fight to continue Mamluk rule. If we lose, our proud dynasty will come to an end and never rule again.;;;;;;;;;;;;;
NORMAL_WAR_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
AGRESSION_WAR_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
ottoman_invasion_tripoli_title;Restore Order to Tripolitania;;;;;;;;;;;;;
ottoman_invasion_tripoli_desc;Our vassals in Tripolitania have been unstable for quite a while, and have now fully let their country fall into a civil war. As we saw in Algeria, letting a vassal become ever more autonomous and separate from Konstantiniyye gives colonial powers the opportunity to conquer them. This is our chance to take control of Tripolitania once and for all.;;;;;;;;;;;;;
BLACKWAR;Ever since Europeans arrived on Australia, there has been conflict between the native Aboriginal peoples and the colonizers. The Black War, or the Tasmanian War as some call it, has plagued the island since 1803 when the first major settlements were established. The Aboriginal's skirmishes with the colonists more than doubled in intensity during the 1820s as a result of the settlers' continued attempts at killing the native people. Between 1826 and 1828 there were multiple major massacres resulting in the deaths of 408 Aboriginal Tasmanians and 61 British settlers. In 1830, lieutenant-governor George Arthur ordered 2,200 men, consisting of soldiers and free citizens, to persecute and forcibly relocate four out of the nine Aboriginal nations into a “reservation." The 31st of December 1831 officially marks the end of the Black War as the last resisting tribes whose numbers had dwindled to 28 people have surrendered after years of persecution and genocide.;;;;;;;;;;;;;
BLACKWAROPT;Tasmania is now at peace -- but at what cost?;;;;;;;;;;;;;
LEAGUEWAR;The Costa Rican government has repealed the so-called "Ambulance Law," the legal practice of rotating the country's capital between four cities. Authorities have squabbled over what should be the Costa Rican capital ever since its independence from Spain, but traditionally its provincial capital under Spanish rule had been the city of Cartago. After independence, however, the capital switched to San José, to some protest that prompted the federal government to create four equal-status capitals. This changed when the current head of state, Braulio Carrillo Colina, repealed the Ambulance Law, cementing San José as the sole Costa Rican capital. Paramilitaries of the four other former capitals--Cartago, Alajuela, and Heredia--have mobilized to force the law's re-enactment.;;;;;;;;;;;;;
LEAGUEWAROPT;What an odd reason to start a war.;;;;;;;;;;;;;
KOLUPRISING;The Kol people of Chota Nagpur, Jharkhand, have risen up in response to the annexation of their tribal lands. These annexations caused settlers from other parts of the East India Company's territories to move in, then explot the Kol people's labor. Resenting their situation, bands of Kols, as well as other adivasi--tribal--peoples, have begun wreaking havoc through random acts of banditry. They hope to drive the British out.;;;;;;;;;;;;;
KOLUPRISINGOPT;They're playing with fire. We'll burn them.;;;;;;;;;;;;;
TITHEWAR;Tithe payments are a tax imposed on farmers in Ireland. They pay 10 percent of the value of their agricultural produce to the clergy for the sake of financing the church. This has been a rather unpopular tax within the Catholic Irish communities, resulting in multiple clashes and protests. The "war" took a turn in 1831 when the Irish Constabulary fired on people resisting payments, killing 12 and wounding another 20. This event led anti-tithe protestors to ambush 40 Constabularies, killing 12, including the Chief Constabulary. Today, 200,000 people have gathered in Ballyhale in support of those being charged for the events that resulted in the 1831 killings.;;;;;;;;;;;;;
TITHEWAROPT;This could end badly.;;;;;;;;;;;;;
ALBANIA1833;4,000 Albanian rebels have surrounded the marketplace in Iskodra to demand the abolition of taxes and the restoration of privileges the Sultan had revoked. Their anarchy may have real grievances, but the Sultan's word is absolute. How should we deal with them? ;;;;;;;;;;;;;
ALBANIA1834;Albanians in Telepanë have taken to the streets to protest the appointing of Emin Pasha as governor. The son of Mehmet Reshit Pasha, the mastermind of the Monastir Vizier Massacre, the Albanian people believe Emin will turn out much like his father: a tyrant who opposes all pleas for Albanian autonomy. How shall we proceed?;;;;;;;;;;;;;
ALBANIA1835;With our promise to the Albanians of appointing a moderate governor of local origin broken, another rebellion has cropped up in Berat. Their insurrection culminated in the forming of a provisional government, under which negotiations for autonomy broke down and led to the siege of Berat castle by the rebels. The committee's military commander, Tafil Buzi, has called for his comerades to commence the liberation of all Albania.;;;;;;;;;;;;;
france_trolling_portugal_title;Forcing Recognition by Portugal;;;;;;;;;;;;;
france_trolling_portugal_desc;Portugal's absolute monarch, Dom Miguel I, has refused to recognize the legitimacy of the July Monarchy. Miguel, nicknamed 'The Absolutist', abolished the constitution and became the total ruler of Portugal several years ago. This of course motivates him to not recognize our revolutionary monarch. With the OK of Britain and Spain who also oppose absolutism in Portugal, we may dispatch a naval expedition to Lisbon to use gunboat diplomacy to force Miguel's hand in the recognition of the July Monarchy. If not, our navy shall have a little target practice.;;;;;;;;;;;;;
FRANCEDEMANDSBINGCHILLING;Louis-Philippe, king of France, seized power in a revolution against Charles X of Bourbon in 1830. This illegitimate rebel king has now dispatched a naval squadron to demand we recognize his rule in a 48-hour ultimatum. Their navy may be more than a match for ours.;;;;;;;;;;;;;
PORTUGALRECOGNIZESFRA;Dom Miguel I has recognized king Louis-Philippe and the July Monarchy under the threat of the guns of our naval squadron. While this admission is certainly not genuine, it still has the desired effect of bringing Portugal in line and further legitimizing the July Monarchy internationally.;;;;;;;;;;;;;
BATTLETAGUS;Our navy has been obliterated by the French. Our only ship of the line, Dom João VI, was in such disrepair that it could not engage the French. The two frigates, Diana and Pérola, were massively outgunned by the three French ships of the line despite support by corvettes, brigs and a brigantine. Humiliatingly, the French have captured our ships as prizes to serve in their own navy. Maybe by agreeing to their initial demands we can save some of our ships.;;;;;;;;;;;;;
BATTLETAGUSRECOG;We have obliterated the Portuguese navy. Their only ship of the line, Dom João VI, was in such disrepair that it could not engage our squadron. The two Portuguese frigates, Diana and Pérola, were massively outgunned by three of our ships of the line despite support by corvettes, brigs and a brigantine. Now, our triumphant navy has returned with the captured Portuguese ships - new additions for our navy.;;;;;;;;;;;;;
BATTLETAGUSNORECOG;We have obliterated the Portuguese navy. Their only ship of the line, Dom João VI, was in such disrepair that it could not engage our squadron. The two Portuguese frigates, Diana and Pérola, were massively outgunned by three of our ships of the line despite support by corvettes, brigs and a brigantine. Now, our triumphant navy has returned with the captured Portuguese ships - new additions for our navy.;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_VNZ_VNR;The Reformist Revolution;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_VNZ_VNR;The Reformist Revolution;;;;;;;;;;;;;
NORMAL_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
AGRESSION_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
BANIKHALID;The Bani Khalid Emirate, once powerful enough to drive the Ottomans from the Persian Gulf, has suffered a long decline. Until recently, they barely existed, as their tribal confederation fractured further with the loss of confidence in leadership. In a final battle, we have now defeated out the last of the forces of the Bani Khalid, sealing their fate forever.;;;;;;;;;;;;;
LIBERALAZORES;The Liberal forces of Dom Pedro, ex-Emperor of Brazil and Regent for his daughter Maria da Glória, the claimant to the throne, have landed in the Azores and defeated our garrison. They dispute the legitimacy of Dom Miguel I and are supported by liberal agitants in Portugal who chafe under Dom Miguel I's absolutist rule.;;;;;;;;;;;;;
DOMPEDRODED;Except for bouts of epilepsy that manifested in seizures every few years, Pedro had always enjoyed robust health. The war, however, undermined his constitution and he has now died of tuberculosis after a long and painful illness. One of his last acts was to dictate an open letter to Brazil: 'Slavery is an evil, and an attack against the rights and dignity of the human species, but its consequences are less harmful to those who suffer in captivity than to the Nation whose laws allow slavery. It is a cancer that devours its morality.' He will always be remembered for having ousted the tyrannical Dom Miguel I and having brought constitutionalism to Portugal.;;;;;;;;;;;;;
MINDELOLANDING;Liberal forces loyal to Dom Pedro have landed at Mindelo, seeking to overthrow his brother Dom Miguel, who has usurped the throne. With them, they have 60 ships and 7500 men, consisting of Constitutionalist forces loyal to Queen Maria II and her regent Dom Pedro, as well as a number of foreign volunteers. The landing caught the Absolutist forces by surprise, and Porto was captured swiftly thereafter.;;;;;;;;;;;;;
MINDELOLANDINGOPT;Dom Miguel will remain in power.;;;;;;;;;;;;;
MINDELOLANDINGMPR;Dom Pedro will be our Liberator! §BPlay as the Constitutionalists§W;;;;;;;;;;;;;
BATTLEPONTEFERREIRA;Our forces, pursued by Miguelite troops, have been forced to retreat to the safety of Porto after a failed attack on a larger Miguelite army. At 3 AM our forces launched another attack on the Miguelite army. The Miguelites eventually retreated following heavy casualties, but the battle would prove indecisive: Another Miguelite force has been spotted approaching the city of Porto from the south of the river Douro. Our forces have now retreated back into the city to hold its fortifications.;;;;;;;;;;;;;
BATTLEPONTEFERREIRAMIGUELIST;The Constitutionalist forces, pursued by our troops, have been forced to retreat to the safety of Porto after a failed attack on our superior army. At 3 AM the constitutionalist forces launched another attack on our army, forcing us to eventually retreat following heavy casualties, but the battle would prove indecisive: We have organized another force that is approaching the city of Porto from the South of the river Douro. The constitutionalists have now retreated back into the city to hold its fortifications.;;;;;;;;;;;;;
BATTLEPONTEFERREIRAOPT;They will have to fully siege us down!;;;;;;;;;;;;;
CERCODOPORTO;A joint Miguelite army commanded by General Gaspar Teixeira, consisting of 2 forces led by General Álvaro Póvoas and Viscount Manuel Gregório de Sampaio of Santa Marta has surrounded the city of Porto in a siege. Dom Pedro in response sent out a column to attack Valongo, which was subsequently ambushed by a Miguelite force. The city of Porto itself is surrounded by a series of strongholds, and will be tough for the Miguelite army to break. §RYou will have a year to prepare before the war starts in 1833.§!;;;;;;;;;;;;;
CERCODOPORTOMIGUELIST;Our army commanded by General Gaspar Teixeira, consisting of 2 forces led by General Álvaro Póvoas and Viscount Manuel Gregório de Sampaio of Santa Marta has surrounded the city of Porto in a siege. Dom Pedro in response sent out a column to attack Valongo, which was subsequently ambushed by our forces. The city of Porto itself is surrounded by a series of strongholds, and will be tough for our army to break. §RYou will have a year to prepare before the war starts in 1833.§!;;;;;;;;;;;;;
