;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98405;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora," are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in the Palestine. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x",,,,,,,,,,,,,,,,,,,,
EVTNAME98600;$COUNTRY_ADJ$ Independence?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98600;There has been an increasing desire among the people of $COUNTRY$ to gain our full independence. Crowds gathering in $CAPITAL$ have demanded an end to rule by our distant overlords, and while many in the government are sympathetic with their cries there are also those who fear such a demand could lead to war. Any attempts to achieve independence should ideally take a diplomatic route first, with friendly ties maintained if peaceful separation becomes a reality.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98605;$FROMCOUNTRY_ADJ$ Independence?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98605;Diplomats from $FROMCOUNTRY$ arrived in $CAPITAL$ this month, presenting a formal request for their full independence from $COUNTRY$. They assure us that they fully intend to maintain ties with our nation, and have agreed to move forward as $COUNTRY_ADJ$ allies, but that they desire their freedom even so. There are many who feel such a request is beyond the pale and must be refused out of hand. Still others say that if $FROMCOUNTRY$ is denied, we could be facing a rebellion-- and is it not better than to have a friendly ally than a recalcitrant and unwilling subject?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME98606;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98606;Not unexpectedly, the $FROMCOUNTRY_ADJ$ government has denied our request for independence. It seems our only option is rebellion-- as unrealistic as some claim that option to be.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98607;$COUNTRY$ Granted Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98607;Our diplomacy has proven successful: $COUNTRY$ has been granted full autonomy, on the condition that friendly ties be maintained with $FROMCOUNTRY$. Crowds have gathered in $CAPITAL$ to cheer on our Independence Day!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98610;$FROMCOUNTRY$ Demands Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98610;It appears the time for diplomacy has ended. We have received word from the $FROMCOUNTRY_ADJ$ government that they have demanded independence-- or it will be war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME98611;Must We Fight Alone?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98611;Since $COUNTRY$ was denied its independence, there has been talk of open rebellion in the streets of $CAPITAL$. Fighting against our overlords might surely result in us being crushed, however. Since we have no recourse, secretly approaching some of the enemies of our overlord might gain us some allies in the war to come.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98612;$FROMCOUNTRY_ADJ$ Independence?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98612;Representatives from $FROMCOUNTRY$ have quietly approached us, asking to set up an alliance with $COUNTRY$ should their demand for independence go unheeded. So far, they say, diplomatic efforts have proven fruitless... so $COUNTRY_ADJ$ assistance would be invaluable to them, and perhaps gain us a new ally.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME98620;Christian Oppression;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98620;The Ottoman government had a number of policies regarding the treatment of Christians within the Empire which were considered oppressive: the capitulation tax, known as the Jizya, as well as controls over Christians which did not permit them to become soldiers or hold public office. It was not until the Hatt-i Humayun in 1856-- also known as the Imperial Reform Edict, part of the Tanzimat Reforms-- that things actually began to improve for minorities.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98625;The Kanûn-i Esâsî;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98625;A group of liberal intellectuals known as the 'Young Ottomans', led by the statesman reformer Midhat Pasha and influenced by the Liberal Revolutions elsewhere in Europe, have proposed a new constitution-- the 'Kanûn-i Esâsî' or 'Basic Law'-- which would see an elected parliament created, would limit the powers of the Sultan, and speed up the Tanzimat Reforms. Conservative members of the Ottoman government claim that giving into these liberals will only speed up the erosion of long-held traditions, while others say that the reforms are sorely needed to stave off the decline of the Empire at the hands of nationalists.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME98626;The Empire in Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98626;The current state of unrest within the Empire has reached the point where the Sultan has been advised to abrogate the Ottoman Constitution. Absolute power must be returned to the monarchy in order to stamp out the militants-- and while there are those who say that such action will only foster more unrest, there are others who are all too aware that failing to do so will make the Sultan look weak. It is not beyond the realm of possibility that reactionaries might seek to restore the monarchy by force-- or, even worse, seek to abolish it altogether.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98630;Inspired Nationalists;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98630;With the recent loss of European territories, nationalists within $COUNTRY$ have been inspired to rise up. $COUNTRY_ADJ$ officials are concerned we could be seeing a string of rebellions in the years to come, and already the army is scrambling to contain any efforts at rebel organization.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98635;The Young Turks;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98635;Spurred on by the continuing lack of reform, Ottoman liberals have radicalized into the 'Young Turks'. They seek to restore the consitutional monarchy, by force if need be, and there are those who have advised the government that these liberals must be dealt with harshly before they grow into a real problem.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98636;Turkish Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98636;Turkish liberals have grown increasingly defiant of the Ottoman monarchy-- to the point where they suggest that the Sultan must be overthrown, replaced with a modern republic. They reject the notion of Ottomanism, saying it has already led to the Empire's decline, and that the way to restoring the nation's glory is to put the good of the Turkish people ahead of all other concerns... including religious.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98650;$FROMCOUNTRY_ADJ$ Unification!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98650;The call from $FROMCOUNTRY$ has come to $COUNTRY$, asking us to unify with their nation into a greater state-- one which will forge a greater power in a new world order. There are those $COUNTRY_ADJ$ citizens who fear losing our identity in such a union, but many welcome the nation and rightly state that $FROMCOUNTRY$'s influence in $COUNTRY$ is already great. If we deny the union, the $FROMCOUNTRY_ADJ$ government may decide to enforce their claim on us whether we like it or not.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98651;Islamic Unification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98651;The call from $FROMCOUNTRY$ has come to $COUNTRY$, asking us to unify with their nation into a greater Islamic state-- one which will forge new world power. There are those $COUNTRY_ADJ$ citizens who fear losing our identity in such a union, and some who object to our joining with a country ruled by fundamentalists. But, for the good of all Islamic peoples, should we not consider our fate?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME98655;Hungarians Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98655;After much discussion and deliberation, the Hungarians have agreed to expand the Austro-Hungarian union into a federation with the other Danubian cultures even if it means giving up some of their traditional claims to those lands. We may now proceed to propose the union to other local governments with full confidence that both our governments are behind it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98656;The Hungarian Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98656;After much discussion and deliberation, the Hungarians have agreed to expand the Austro-Hungarian union into a federation with the other Danubian cultures... on one condition: that they be elevated to a fully autonomous state tied to the federation only in matters of foreign relations. We can ignore their proposal, but not without causing a great deal of discontent among the Hungarian people. Sadly, this appears to be as far as their government will go on the matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98657;The Hungarians Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98657;After much discussion and deliberation, the Hungarians have outright refused the proposed federation. They do not wish to lose their equal standing with the Austrian government, and see no benefit in surrendering claims to their traditional territories. We can ignore their refusal and proceed with the federation anyhow, but not without upsetting the Hungarian people greatly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98660;Czechs Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98660;After much discussion and deliberation, the Czechs have agreed to the proposed Danubian Federation without reservation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98661;The Czech Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98661;After much discussion and deliberation, the Czechs have agreed to the proposed Danubian Federation... on one condition: that they be elevated to a fully autonomous state tied to the federation only in matters of foreign relations. We can ignore their proposal, but not without causing a great deal of discontent among the Czech people. Sadly, this appears to be as far as they will go on the matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98662;The Czechs Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98662;After much discussion and deliberation, the Czechs have outright refused the proposed federation. We can ignore their refusal and proceed with the federation anyhow, but not without upsetting the Czech people greatly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98665;Romanians Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98665;After much discussion and deliberation, the Romanians have agreed to the proposed Danubian Federation without reservation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98666;The Romanian Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98666;After much discussion and deliberation, the Romanians have agreed to the proposed Danubian Federation... on one condition: that they be elevated to a fully autonomous state tied to the federation only in matters of foreign relations. We can ignore their proposal, but not without causing a great deal of discontent among the Romanian people. Sadly, this appears to be as far as they will go on the matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98667;The Romanians Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98667;After much discussion and deliberation, the Romanians have outright refused the proposed federation. We can ignore their refusal and proceed with the federation anyhow, but not without upsetting the Romanian people greatly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98670;Croatians Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98670;After much discussion and deliberation, the Croatians have agreed to the proposed Danubian Federation without reservation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98671;The Croatian Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98671;After much discussion and deliberation, the Croatians have agreed to the proposed Danubian Federation... on one condition: that they be elevated to a fully autonomous state tied to the federation only in matters of foreign relations. We can ignore their proposal, but not without causing a great deal of discontent among the Croatian people. Sadly, this appears to be as far as they will go on the matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98672;The Croatians Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98672;After much discussion and deliberation, the Croatians have outright refused the proposed federation. We can ignore their refusal and proceed with the federation anyhow, but not without upsetting the Croatian people greatly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98675;Slovenes Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98675;After much discussion and deliberation, the Slovenes have agreed to the proposed Danubian Federation without reservation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98676;The Slovene Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98676;After much discussion and deliberation, the Slovenes have agreed to the proposed Danubian Federation... on one condition: that they be elevated to a fully autonomous state tied to the federation only in matters of foreign relations. We can ignore their proposal, but not without causing a great deal of discontent among the Slovene people. Sadly, this appears to be as far as they will go on the matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98677;The Slovenes Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98677;After much discussion and deliberation, the Slovenes have outright refused the proposed federation. We can ignore their refusal and proceed with the federation anyhow, but not without upsetting the Slovene people greatly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98680;Slovakians Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98680;After much discussion and deliberation, the Slovakians have agreed to the proposed Danubian Federation without reservation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98681;The Slovakian Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98681;After much discussion and deliberation, the Slovakians have agreed to the proposed Danubian Federation... on one condition: that they be elevated to a fully autonomous state tied to the federation only in matters of foreign relations. We can ignore their proposal, but not without causing a great deal of discontent among the Slovakian people. Sadly, this appears to be as far as they will go on the matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98682;The Slovakians Refuse Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98682;After much discussion and deliberation, the Slovakians have outright refused the proposed federation. We can ignore their refusal and proceed with the federation anyhow, but not without upsetting the Slovakian people greatly.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98685;Polish Agree to Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98685;After much discussion and deliberation, the Polish have agreed to the proposed Danubian Federation without reservation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98686;The Polish Counter-Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98686;After much discussion and deliberation, the Polish have agreed to the proposed Danubian Federation... on one condition: that they be elevated to a fully autonomous state tied to the federation only in matters of foreign relations. We can ignore their proposal, but not without causing a great deal of discontent among the Polish people. Sadly, this appears to be as far as they will go on the matter.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME98710;The Hungarian Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98710;Resentment has been brewing among Hungarians ever since the federation's formation. Their leaders have been loudly proclaiming that they gave no approval for this violation of their constitutional rights, and that German officials proceeded regardless of Hungarian concerns. In some cities, the protests have even become violent and authorities report difficulty in keeping things under control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98711;The Czech Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98711;Resentment has been brewing among the Czechs ever since the federation's formation. Their leaders have been loudly proclaiming that German officials proceeded regardless of Czech concerns. In some cities, the protests have even become violent and authorities report difficulty in keeping things under control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98712;The Romanian Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98712;Resentment has been brewing among the Romanians ever since the federation's formation. Their leaders have been loudly proclaiming that German officials proceeded regardless of Romanian concerns. In some cities, the protests have even become violent and authorities report difficulty in keeping things under control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98713;The Croatian Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98713;Resentment has been brewing among the Croatians ever since the federation's formation. Their leaders have been loudly proclaiming that German officials proceeded regardless of Croatian concerns. In some cities, the protests have even become violent and authorities report difficulty in keeping things under control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98714;The Slovene Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98714;Resentment has been brewing among the Slovenes ever since the federation's formation. Their leaders have been loudly proclaiming that German officials proceeded regardless of Slovene concerns. In some cities, the protests have even become violent and authorities report difficulty in keeping things under control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98715;The Slovakian Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98715;Resentment has been brewing among the Slovakians ever since the federation's formation. Their leaders have been loudly proclaiming that German officials proceeded regardless of Slovakian concerns. In some cities, the protests have even become violent and authorities report difficulty in keeping things under control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98716;The Polish Rebellion;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98716;Resentment has been brewing among the Polish ever since the federation's formation. Their leaders have been loudly proclaiming that German officials proceeded regardless of Polish concerns. In some cities, the protests have even become violent and authorities report difficulty in keeping things under control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98720;End of the Federation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98720;With the loss of Hungary, the entire basis for the Danubian Federation has begun to crumble. The other ethnic groups are questioning the dominance that the German majority will exert without the Hungarians to counter-balance them, and increasingly there are demands for the federation to be undone. Some Germans are fine with this, preferring to return to the Austria that was, but many of them say that these other groups should not be permitted to break away. They say the Austrian Empire should be restored-- by force, if need be.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTDESC98721;With the Danubian government having become a totalitarian regime, resentment among the various ethnic groups has reached a boiling point. They are demanding their independence, something which would see an end to the federation as it currently exists. The German majority is fine with this, though some are also suggesting the temerity of these rebels is beyond the pale and the federation should be maintained-- by force, if need be.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME98725;The Call for Arab Unity;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98725;The call has gone out across the world: a nation has risen to lead the arab masses into the future, a greater power that can withstand the onslaught of colonialism by the European powers. They must rise up and join $COUNTRY$, or forever spend their lives as servants to foreign masters.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME98735;Islamic Fervor in $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98735;A sentiment of Islamic nationalism is sweeping $COUNTRY$, as people begin to clamor for unification with the Islamic Caliphate. We have little reason to doubt that they would object to a petition of annexation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME98800;$STATENAME$ Colonial Incorporation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC98800;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Nigerian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98805;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Togolese colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98806;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Gambian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98807;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Ivorian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98810;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Sierra Leonean colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98815;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Guinean colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98820;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Senegalese colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98822;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Algerian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98825;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Nigerien colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98830;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Chadian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98835;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Cameroonian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98837;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Gabonese colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98840;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Congolese colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98845;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Free Congo State colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98852;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Central African colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98858;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Sudanese colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98860;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Zambian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98865;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Kenyan colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98870;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Tanganyikan colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98875;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Malian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98880;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Libyan colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98883;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Zanzibar colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98884;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Angolan colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98885;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Mozambican colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98890;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Mauretanian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98891;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into Morrocco.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98892;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Ghanian colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98893;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Burkinabe colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC98895;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Ugandan colony.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME1316081;The Kowloon Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1316081;A drunken riot by a large group of British sailors ashore at Kowloon has resulted in the death of a local man. By rights, the sailors should be tried and executed by the Qing magistrate. The British, however, have demanded extraterritoriality-- meaning their citizens would be tried by British judges. This will inevitably lead to their release and the anger of our citizens, but demanding these mens' executions could lead to war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME1316082;The Unequal Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1316082;The war with $FROMCOUNTRY$ is not going well. These damnable foreigners are in our lands and blockading our ports, and to the embarassment of our government there seems to be little we can do to stop them. $FROMCOUNTRY_ADJ$ diplomats have approached us to negotiate a 'fair' settlement. While we could drag the war on and see if the $FROMCOUNTRY_ADJ$ have the wherewithal to finish their assault, it might be in our best interest to give them a concession port and reparations. Indeed, this might even help us in some ways, though the loss to our prestige would be considerable.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME1316083;$FROMCOUNTRY$ Agrees;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC1316083;The $FROMCOUNTRY_ADJ$ rulership has signed our peace treaty, granting us a concession port on their coast as well as reparations. This has improved relations between our countries tremendously, and should go a long way to ensuring $COUNTRY_ADJ$ influence in China remains strong.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME1316084;$FROMCOUNTRY$ has Refused!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
