end_ottoman_domination_title;End Ottoman Domination;;;;;;;;;;;;;
NOONGARMASSACREOPT;Sufficiently exemplary.;;;;;;;;;;;;;
end_ottoman_oppression_title;End the Ottoman Oppression!;;;;;;;;;;;;;
end_ottoman_oppression_desc;The Greek uprisings have done what the western world, and even the Ottoman sultan have considered all but impossible. Without any foreign assistance, the Greek people have thrown out their oppressors from the seat of power in Constantinople, and have laid claim to all that was previously taken from them in centuries past. The city is once again ours, and we can recenter the eastern world once again around that of Constantinople, the city of kings!;;;;;;;;;;;;;
end_ottoman_partisan_title;End the Partisan Raids;;;;;;;;;;;;;
end_ottoman_partisan_desc;Ever since the independence of the Rhomaion state, the local Turkish population and loyalists to the old Sultan's regime have raided the Greek countryside, wreaking havoc on the state's income and on the national economy. With a proper Rhomaion army finally put together, the Ottoman raids can be put to an end, and the perpetrators rightfully put to death.;;;;;;;;;;;;;
end_bureaucratic_rot_title;Clean up the Bureaucracy;;;;;;;;;;;;;
end_bureaucratic_rot_desc;With the Rhomaion state in power once again, one of the greatest weaknesses it unfortunately inherited from the Ottoman empire was a disloyal and rotting bureaucratic structure. With a hefty investment into a bureaucratic reform program, this can be dealt with.;;;;;;;;;;;;;
end_cession_tuscan_title;End the Tuscan Cession!;;;;;;;;;;;;;
end_cession_tuscan_desc;During the Napoleonic Wars, the territories of the Bourbon-Parma line were taken away, repossessed to France in 1801 in exchange for rule over Tuscany as the kingdom of Etruria. In the aftermath of the Napoleonic wars, the duchy of Tuscany was restored, with the exception of Lucca being handed back to the Bourbon-Parmas until such time as Parma was once again inherited to them. While Parma has been restored to the line, there is a unique opportunity to protest the annexation of Lucca back into Tuscany, using this to justify a restoration of Etruria under the Bourbon line.;;;;;;;;;;;;;
intervention_italy_1848_title;Intervention in Italy;;;;;;;;;;;;;
intervention_italy_1848_desc;The Italian Peninsula has erupted into open war, as Sardinia takes advantage of the weakened state of the Austrian Empire to seize control over Lombardia. With the status quo upended, this poses an existential threat to Bourbon interests on the peninsula, and if left unchecked may well result in the collapse of the balance of powers. Intervention, while aiding an enemy in the Austrian Empire, may prove to the best intersts of the French Kingdom in the long run.;;;;;;;;;;;;;
rebuild_palace_versailles_title;Rebuild the Versailles Palace!;;;;;;;;;;;;;
rebuild_palace_versailles_desc;The Versailles Palace, despite its famous parties and court culture, was never fully in operating condition. Attempts to finish and maintain the grand project have frequently been shut down due to the financial strain put on the economy. Furthermore, during the French Revolution, the Versailles Palace was torn apart and ransacked by revolutionary forces, leaving much in ruin or otherwise fully emptied out. With the Bourbon monarchy once again secure in its position, we have the opportunity to repair and finish the palace, leaving France with a capital to be truly proud of!;;;;;;;;;;;;;
create_sgf_france_title;Unite Southern Germany!;;;;;;;;;;;;;
create_sgf_france_desc;The Bavarian alliance has proven quite useful to France in the past, however it has its limits. Bavaria, ultimately, is not capable on its own to compete with the forces of Austria or Prussia sufficiently to prevent the unification of Germany. However, should France maintain enough influence in southern Germany, it could perhaps exploit the alliance with Bavaria to strengthen the latter's position, upending the balance of power in Germany...;;;;;;;;;;;;;
trigger_england_war_bor_title;Strike down Albion!;;;;;;;;;;;;;
trigger_england_war_bor_desc;The French navy has been modernized, and now Britain can be dealt with accordingly...;;;;;;;;;;;;;
form_boe_fra_title;Unite France and Spain!;;;;;;;;;;;;;
form_boe_fra_desc;In the early 1700s, the Hapsburg line of the Spanish monarchy died out, leaving the throne to the king of France at the time. This event, which nearly united the thrones of France and Spain into a single monarchy, directly led to the War of Spanish Succession in 1701. Despite the best efforts of the two crowns, the Hapsburg coalition achieved a partial victory, leading to the treaty of Utrecht in 1714. Now, the opportunity has come to refute this damnable treaty, and reunite the two kingdoms once more!;;;;;;;;;;;;;
form_boe_spc_title;Unite France and Spain!;;;;;;;;;;;;;
form_boe_spc_desc;In the early 1700s, the Hapsburg line of the Spanish monarchy died out, leaving the throne to the king of France at the time. This event, which nearly united the thrones of France and Spain into a single monarchy, directly led to the War of Spanish Succession in 1701. Despite the best efforts of the two crowns, the Hapsburg coalition achieved a partial victory, leading to the treaty of Utrecht in 1714. Now, the opportunity has come to refute this damnable treaty, and reunite the two kingdoms once more!;;;;;;;;;;;;;
boe_burgundy_claim_title;The Crown of Burgundy;;;;;;;;;;;;;
boe_burgundy_claim_desc;In ages long past, the Spanish monarchy found itself inheriting the crown of Burgundy after the last of its male line died out. With that came domination over Eastern France and the Benelux. While the last of these domains would be lost in the War of Spanish Succession, the restoration of the united monarchy has provided a unique opportunity to undo this wrong, and cement Spanish control over the Benelux once more.;;;;;;;;;;;;;
boe_northern_italy_title;The Crown of Italy;;;;;;;;;;;;;
boe_northern_italy_desc;The Bourbon realm of France long desired control over northern Italy, with a great deal of conflict being centered around control over the small states in the region against the Holy Roman Empire and the Hapsburgs that ruled it. Now, with the Bourbon realms united, Italy can brought to heel, ending the many conflicts once and for all.;;;;;;;;;;;;;
marotist_reforms_title;Marotist Reforms;;;;;;;;;;;;;
marotist_reforms_desc;Following the controversy surrounding Maroto regarding suspected Christino loyalties, he was pardoned by the king when the charges proved false. With his status as a primary leader of the Carlist cause restored, it has been suggested that the army adopt several reforms that he himself has pushed forth to modernize the Spanish army.;;;;;;;;;;;;;
carlist_distributism_title;Carlist Distributism;;;;;;;;;;;;;
carlist_distributism_desc;Upon the advent of socialism, the Catholic church felt compelled to make a response to the unrest the socialist movement created amongst the poor strata of society, as the Church historically held a highly conservative standpoint and felt that socialist and liberal political activism threatened to upend traditional moral and moral structures, as well as erode Catholic church authority, which had already been declining for some time. The Papal response therefore was to seek the advent of a 'third way' ideology, one that would come to be known as distributism. Characterized by clerical authority, land reform, agrarianism, and extensive preference to small business enterprise over corporations, the ideology would quickly gain traction as the primary economic policy of the Carlist movement. Passing this reform will therefore greatly strengthen resource output and education at the expense of heavy industrial efficieny, and the redistribution of land will undoubtedly come at great cost to the state.;;;;;;;;;;;;;
end_carlist_distributism_title;End Carlist Distributism;;;;;;;;;;;;;
end_carlist_distributism_desc;With the current Spanish government no longer supporting the ideology of distributism, it is now pertinent to end the policy and move towards a more modern economic system.;;;;;;;;;;;;;
constitution_of_1888_title;Constitution of 1888;;;;;;;;;;;;;
constitution_of_1888_desc;Since the succession of Carlos V to the throne of Spain, the issue of a Spanish constitution has been put on hold, due to the deeply traditionalist mindset of the Carlist support base, and fears that caving to liberal ideals would erode the authority of the church and of the Fueros system. With a more liberally-minded monarch in charge, perhaps a middle ground can be met, with the creation of a proper national legislature. The result is the Turnismo system, wherein the legislature is organized under a bicameral system between traditionalists and liberals, members of which are carefully selected before elections begin, and are purposefully rotated in order to ensure neither party maintains absolute control over the Spanish government.;;;;;;;;;;;;;
expand_germanization_1_title;Expand the Germanization Program;;;;;;;;;;;;;
expand_germanization_1_desc;The process of Germanization, thus far, has been rather slow and small in scale. However, with the realm centralized, it is only natural that these policies be expanded, though it will be costly.;;;;;;;;;;;;;
expand_germanization_2_title;Expand the Germanization Program;;;;;;;;;;;;;
expand_germanization_2_desc;As time wears on, the Germanization program must be further expanded so that the Austrian Empire can bring about yet more central control.;;;;;;;;;;;;;
integrate_naples_title;Integrate the Neapolitan Crown;;;;;;;;;;;;;
integrate_naples_desc;In the aftermath of the Spanish War of Succession, the crown of Naples was awarded in the peace deal to the Hapsburg monarchy. A valuable part of the realm, the Hapsburgs ruled over it over the course of the early 1700s, until losing it in the 1730s to the Bourbon dukes of Parma. With Italy placed under Austrian supervision, this unjust loss can finally be reversed, and Naples restored to its rightful place within the empire.;;;;;;;;;;;;;
EVTNAME00001;The Maroto Controversy;;;;;;;;;;;;;
EVTDESC00001;Rafael Maroto was a well-renowned Spanish General in the American Wars of Independence, and a distinct royalist in his loyalties, pledging himself to Don Carlos after resigning from formal military command in 1833 and being subsequently imprisoned by the liberal government for six months. In following years he proved to be a loyal commander, albeit one that remained at great odds with the conduct of Carlist forces, leading to a number of defeats due to infighting and court intrigue. A decree was issued to Don Carlos, proclaiming him a traitor and responsible for the deaths of several high ranking officials in early conflicts with the Liberals. Only a short time later, with the complete noncompliance of the Carlist armed forces surrounding Maroto, and a confrontation between his supporters and Don Carlos, was this decree ultimately reneged. Maroto was later credited as saying 'I have triumphed over the arbitrariness, injustice, and blindness of a prince, and history will judge me in due course.' This has proven to be a substantial humiliation to the Royalist cause in Spain, and a key event in the formation of the Marotist party within its ranks.;;;;;;;;;;;;;
EVTOPTA00001;And division grows even in our own ranks.;;;;;;;;;;;;;
EVTNAME00002;The Death of Carlos of Molina;;;;;;;;;;;;;
EVTDESC00002;Carlos V, the King of Spain and a controversial leader through greatly troubling times, has passed. The throne now passes to Carlos of Montemolin, who shall be known as Carlos VI.;;;;;;;;;;;;;
EVTOPTA00002;Let us hope that his reign is long and prosperous.;;;;;;;;;;;;;
EVTNAME00003;The death of Carlos of Montemolin;;;;;;;;;;;;;
EVTDESC00003;Carlos VI, King of Spain, has died after only a short five years of rule, and passes the throne down to Juan III of Montizon, a liberal candidate unpopular with the traditionalist Carlists...and next in line to the Legitimiste line of succession within France, a title that means that, should fortune come his way, determines him to be the rightful king of the French as well as the king of Spain, the first of the Spanish Bourbons.;;;;;;;;;;;;;
EVTOPTA00003;Wait what was that about the Fr-;;;;;;;;;;;;;
EVTNAME00004;The death of Juan of Montizon;;;;;;;;;;;;;
EVTDESC00004;Juan III of Montizon, rightful king of Spain and France, has died on this day. His procession is one of bittersweet nature, as he was never a popular candidate to begin with, and is now to be followed by the Duke of Madrid, Carlos, who is to be coronated as Carlos VII of Spain.;;;;;;;;;;;;;
EVTOPTA00004;Finally, back to conservatism.;;;;;;;;;;;;;
EVTNAME00005;The Death of Carlos of Madrid;;;;;;;;;;;;;
EVTDESC00005;Carlos VII, Duke of Madrid and King of Spain, has died on this day. His procession is one of controversy, seen to some as a return to proper conservatism and a reaffirming of the Fueros and their privilege, and to others as a categorical failure, and a return to the reactionary politics so indicative of the Carlist cause. Nonetheless, he shall be followed by Jaime, who inherits both the duchy of Madrid and the kingdom of Spain, to be titled Jaime III.;;;;;;;;;;;;;
EVTOPTA00005;Time for a more moderate candidate.;;;;;;;;;;;;;
EVTNAME00006;The Death of Jaime III;;;;;;;;;;;;;
EVTDESC00006;Jaime III, king of Spain, has died today. His procession is one of little controversy or event, being one of a moderate, quiet-spoken monarch who will be remembered for little, praised for little, and hated for little. He shall be followed by Alfonso Carlos, Duke of San Jaime, coronated as Alfonso I.;;;;;;;;;;;;;
EVTOPTA00006;Hopefully he wont preside over any major civil conflicts.;;;;;;;;;;;;;
EVTNAME00007;The Portuguese Crisis;;;;;;;;;;;;;
EVTDESC00007;Miguel I, rightful king of Portugal and longtime supporter of the Carlist cause in Spain, has been ousted from his seat of power in Portugal, leaving a liberal government to take power in his stead. This proves to be an existential threat to the cause of Carlos V, as the now-liberal Portuguese government may well prove to be a threat to the legitimacy of his own throne. Miguel has come to the Spanish for aid, and to support him could well be to bring about a valuable alliance with the other major Iberian state, perhaps even to restore the personal union of times' past.;;;;;;;;;;;;;
EVTOPTA00007;We shall restore order to Portugal.;;;;;;;;;;;;;
EVTOPTB00007;We have our own problems.;;;;;;;;;;;;;
EVTNAME00008;The Restoration of Miguel I;;;;;;;;;;;;;
EVTDESC00008;Miguel, the absolutist king of Portugal, has been returned to the throne he usurped from the prior royal family, and the throne he was forced to abdicate upon the success of the liberal revolts only a short while ago. At the behest of Carlos V, he proceeds to the throne of Portugal once again, and Spain is now at its liberty to decide how to restructure the Portuguese government.;;;;;;;;;;;;;
EVTOPTA00008;Restore the king's rule and do nothing more.;;;;;;;;;;;;;
EVTOPTB00008;Seize Portuguese colonies as repayment.;;;;;;;;;;;;;
EVTOPTC00008;Render Miguel I subservient. Permanently.;;;;;;;;;;;;;
EVTNAME00009;The Second Coronation of Miguel I;;;;;;;;;;;;;
EVTDESC00009;Miguel I, the tyrant usurper king of Portugal, has been restored to his stolen throne at the head of Portugal. Fears of Spanish reprisals have proven, thankfully, to be largely unfounded. This does not prevent or protect the people from his own reprisals, however. His reign remains unpopular, and shaken greatly by this incident, but hope remains that one day Portugal can return to some semblance of its prior stability and standing on the world stage.;;;;;;;;;;;;;
EVTOPTA00009;Short may his reign be.;;;;;;;;;;;;;
EVTNAME00010;The Quiet Ceremony;;;;;;;;;;;;;
EVTDESC00010;Miguel I, reactionary tyrant king of Portugal, has been returned to his throne. The ceremony was documented as being nearly entirely silent, even his present supporters being solemn in the knowledge of what Portugal lost in the face of this. Spain has seized control over the colonial holdings of the former Portuguese empire, and while the independence of Portugal itself remains intact, this remains the death-knell of its relevance on the world stage. Little hope remains for Portugal to regain its prior status, but perhaps it can claim its place in the sun in some other manner.;;;;;;;;;;;;;
EVTOPTA00010;The sun has set by his folly.;;;;;;;;;;;;;
EVTNAME00011;The Duchy of Portugal;;;;;;;;;;;;;
EVTDESC00011;Miguel I, king of Portugal, has been returned to his country by force of Spanish arms. He has not ascended as king, this time, but has been deposed by not only liberals, but by Carlos V of Spain himself. The Kingdom of Portugal has been dissolved in its entirety, and its colonies seized by the greedy Spanish crown. In the place of the king now lies a lowly Duke, appointed by the Spanish monarch at his whim, and wholly subservient to the interests of the foreign crown. Miguel has returned in shame, and it is unlikely Portugal shall ever recover from this devastation. Miguel returns as the last king, and as the first Duke.;;;;;;;;;;;;;
EVTOPTA00011;A king no more.;;;;;;;;;;;;;
EVTNAME00012;The July Affair;;;;;;;;;;;;;
EVTDESC00012;In the aftermath of the July Revolution, the French Bourbons have seemingly found themselves a haven in the reactionary state of the Kingdom of Spain, led by the deeply traditionalist king Carlos V. This friendly regime directly across the border has proven to be problematic to the legitimacy of the Orleanist monarchial line and its more liberal support base by potentially granting Legitimistes a base of operations directly across the border from France. This has become an embarrassment for the crown and for the revolution, and something must be done about it.;;;;;;;;;;;;;
EVTOPTA00012;We must demand their expatriation elsewhere!;;;;;;;;;;;;;
EVTOPTB00012;They are no threat to us there.;;;;;;;;;;;;;
EVTNAME00013;The July Affair;;;;;;;;;;;;;
EVTDESC00013;In the aftermath of the July Revolution in France, the deposed rightful royal king of France, and his supporters, have found Spain to be a safe haven from the ravenous liberals across the border. Now, the Orleaniste usurpers in Paris have demanded that the French Bourbons, relative to our own king and nobility, be expatriated elsewhere just so they may have more security. While this demand is outrageous at the face of it, it has been strongly implied that France may consider force of arms if we do not oblige.;;;;;;;;;;;;;
EVTOPTA00013;We will not violate our sovereignty for liberal prattle!;;;;;;;;;;;;;
EVTOPTB00013;We shall concede to their demands.;;;;;;;;;;;;;
EVTNAME00014;The July Affair - Spain remains defiant!;;;;;;;;;;;;;
EVTDESC00014;The crown in Spain has refused our generous demands, and has reaffirmed that it is well within its territorial sovereignty to keep the Bourbon monarchs within their borders, despite our protest. We have little recourse in this matter, save force of arms, or dropping the matter entirely.;;;;;;;;;;;;;
EVTOPTA00014;Are the Bourbons worth that much?;;;;;;;;;;;;;
EVTOPTB00014;They will be expatriated, one way or another.;;;;;;;;;;;
EVTNAME00015;The July Affair - Spain has Conceded!;;;;;;;;;;;;;
EVTDESC00015;The crown in Spain has made a wise choice and backed down on this matter. Political security has been secured, and the French Bourbons have been forced to move elsewhere, hopefully somewhere further away from the border.;;;;;;;;;;;;;
EVTOPTA00015;I wonder if we can make them expatriate their own Bourbons too.;;;;;;;;;;;;;
EVTNAME00016;The Fueros Debate - Carlos of Molina;;;;;;;;;;;;;
EVTDESC00016;The issue of the Fueros is one of great contention amongst the peoples of the Kingdom of Spain, and the root of the divide between the Carlists and the Christinos. While the Christinos sought the devolution and assimilation of the fueros into the Spanish crown, the root of the Carlist movement seeks to protect the regional legal systems and minority rights indicative of the fueros system. With the success of Carlos V in asserting his claim to the Spanish throne, the issue of the Fueros has been put aside, for now, and the fueros will maintain their autonomy.;;;;;;;;;;;;;
EVTOPTA00016;Their autonomy is secure.;;;;;;;;;;;;;
EVTNAME00017;The Fueros Debate - Carlos of Montemolin;;;;;;;;;;;;;
EVTDESC00017;With the ascension of a new monarch to the Spanish throne comes a renewal of the fueros debate in the Spanish nation. A traditionalist at heart, much like his predecessor, he seeks to elevate the fueros and bring them to par with the rest of the Spanish country. To accomplish this, a legal reform program has been pushed forwards by the crown to achieve this end. It has proven more than popular amongst the catalan and basque peoples, but has itself become a controversy in the Castilian portion of the kingdom. The reform package seeks to modernize and codify the fueros further in Spanish law, trimming their long list of priveleges of unnecessary and archaic legal structures, while solidifying their status and rendering them all but immutable in the Spanish crown. As such, this reform will greatly increase the militancy of liberals across the kingdom who seek the abolishment of the fueros outright, while rendering the fueros themselves more efficient in their governance.;;;;;;;;;;;;;
EVTOPTA00017;Reform is needed with time.;;;;;;;;;;;;;
EVTOPTB00017;There is no need to reform them now.;;;;;;;;;;;;;
EVTNAME00018;The Fueros Debate - Carlos of Montemolin's Plan;;;;;;;;;;;;;
EVTDESC00018;With the first stage of the reform package set through, the king's full ambition with his reforms is becoming apparent - a total reform of the monarchial structure of Spain, to integrate the fueros as an established legal structure throughout the Spanish nation, and to codify their existence as integral to that of Spain. To accomplish this, each Fuero will be reorganized into separate crownlands, held as a personal demesne of the king, but being fully integrated under the crown of Spain. This places the Basque, Catalan, and Galician regions under direct rule from the king, and governed by Carlist supporters, irrespective of where the legislative apparatus in Madrid leans politically. In turn, trade restrictions and customs borders will be devolved between the crownlands and the rest of the country, whereas the rights of Catalan and Basque to organize in their own separate military units and govern their own territory will remain intact indefinitely. In effect,  This new reform package sees a potential solution to the Fueros debate altogether, but will undoubtedly further anger the liberals of the country-perhaps to the point of open revolution, and even among some Carlists is held as an overly ambitious reform scheme, and one that perhaps even lends a great deal of undue power to the monarch. (Will result in a tag revolt);;;;;;;;;;;;;
EVTOPTA00018;To hell with the opposition- pass it.;;;;;;;;;;;;;
EVTOPTB00018;No more of this nonsense.;;;;;;;;;;;;;
EVTNAME00019;Assassination attempt on Carlos VI;;;;;;;;;;;;;
EVTDESC00019;It has been no secret that Carlos VI's reforms have been of immense controversy in the past few weeks, particularly among the people centering around Madrid, many of whom have flocked to the liberal Christino banners in reaction to what they perceive as a betrayal of Spanish interests in the interest of minorities that they see as rightfully subservient. This unrest has hit a recent high pitch with an attempted assassination of the king as he was on a street parade in Madrid. A gunman attempted to fire upon him, only narrowly missing before police dispatched and disarmed the man. It appears that even within the heartland of Spain, the king does not remain safe. This does not bode well for if the reforms are expanded upon, as he plans.;;;;;;;;;;;;;
EVTOPTA00019;The fires of revolution are stoked.;;;;;;;;;;;;;
EVTNAME00020;The Flames of Liberalism;;;;;;;;;;;;;
EVTDESC00020;Carlos VI has been nothing short of controversial since before he ever ascended the throne, as could be said for any Spanish monarchs in this time. While conservatives and traditionalists find the Carlist cause to be a banner to flock to, a realm of continued stability in the face of the tumultuous reform and change of the French and Portuguese, and a beacon for restored Spanish prestige in a modern age, the liberals see it as a counterrevolutionary reaction, an outdated regime of a bygone era. With the passage of the reform package championed by the king, this has exploded into open revolt across the Castilian countryside in reaction. While the unpopularity of these measures was already known, it has quickly become apparent that the reaction is far more dangerous than anticipated, especially as the calls of these locals have turned from not just declarations against the Carlists, but to declarations against the Spanish monarchy altogether. With the fires of this revolution stoked, it seems likely that a revolution has begun.;;;;;;;;;;;;;
EVTOPTA00020;The banners of war beckon.;;;;;;;;;;;;;
EVTNAME00021;Carlos VI Triumphant;;;;;;;;;;;;;
EVTDESC00021;Carlos VI has emerged triumphant in the face of the liberal opposition to his reforms, and yes, to his rule. His power greatly expanded in the face of the Liberal defeat, he has been granted full power to enact his rule over all of Spain, and indeed, to not only expand his reforms to the whole of the country, but to undo what reforms the Liberals had until that point forced onto the government. His power made absolute, Carlos has found bearing to solidify his reign in a manner more comprehensive than even the Ancien Regime, a truly modern monarchy led benevolently by his rule, at least in the minds of some. Liberals chafe under his rule, but it will be unlikely that they will pose a significant threat again in this lifetime.;;;;;;;;;;;;;
EVTOPTA00021;The Kingdom of Spain stands strong!;;;;;;;;;;;;;
EVTNAME00022;The Liberal Revolution Triumphs!;;;;;;;;;;;;;
EVTDESC00022;In the aftermath of the Spanish civil war, the Carlist usurpers have been driven from the throne of Spain, and in their place a liberal republic has been proclaimed, ready to bring about a restoration of liberty to the Iberian peninsula.;;;;;;;;;;;;;
EVTOPTA00022;The Republic has been victorious!;;;;;;;;;;;;;
EVTNAME00023;The Fueros Debate - Juan III;;;;;;;;;;;;;
EVTDESC00023;With the ascension of Juan III to the Spanish throne, the Fueros debate has regrettably taken up public discourse once again. As Carlos VI failed to bring any lasting change to the Fueros situation, the debate now falls into the hands of the current king to push forwards his vision for what shall be done. Unlike prior Carlist claimants, however, his views have controversially followed along with those of the Christinos in many regards, and as such he views the Fueros as a wholly outdated relic of a feudal past, not worth reforming, but rather total abolishment. To reach these ends, he is pushing forwards a reform program to increase the efficiency of the Fueros, substantially limiting their autonomy and reducing their legal protections.;;;;;;;;;;;;;
EVTOPTA00023;Reform is needed with time.;;;;;;;;;;;;;
EVTOPTB00023;No need.;;;;;;;;;;;;;
EVTNAME00024;The Fueros Debate - Juan III Proposal;;;;;;;;;;;;;
EVTDESC00024;With the initial passing of Juan III's reforms, it has quickly become clear that his actions have awoken a vehement response from the Basque and Catalan minorities of the kingdom. The threatening of their long-held privelegia is widely viewed as a direct violation of their cultural identities, and evidence of unrightful Castilian oppression of the rest of the Iberian Peninsula. To continue with these reforms will no doubt result in a falling-out with the Basque and Catalan minorities altogether, opening a rift that may well never close again.;;;;;;;;;;;;;
EVTOPTA00024;Their opposition means little. Abolish the Fueros.;;;;;;;;;;;;;
EVTOPTB00024;Enough with this madness.;;;;;;;;;;;;;
EVTNAME00025;Basque riot in Barcelona!;;;;;;;;;;;;;
EVTDESC00025;With the recent reform package passed by Juan III, in preparation to completely abolish the fueros, a riot has broken out in the city of Barcelona in response to this perceived betrayal by the Spanish monarchy that has sworn to uphold the rights and interests of the fueros since its onset, and has now begun reducing the rights of these communities in a matter irrespective of this pledge. The riot bodes ill for the fate of relations between the Spanish and the Basque, should the reforms continue.;;;;;;;;;;;;;
EVTOPTA00025;Cant they just Basque in the glory of Spain?;;;;;;;;;;;;;
EVTNAME00026;The Rise of Catalan and Basque Nationalism!;;;;;;;;;;;;;
EVTDESC00026;With the abolishing of the fueros, the protections for the minorities of Spain have been abolished by the central government, placing them fully under the authority of Madrid's wishes, irrespective of what these groups desire for themselves. In response, the idea of nationhood has arisen among these populations, who now see Spain as an oppressive foreign entity, and not representative of their national identities, which are now viewed as fundamentally separate from that of Spain itself. It is doubtful that this rift can ever be closed again in this current era.;;;;;;;;;;;;;
EVTOPTA00026;So it will be.;;;;;;;;;;;;;
EVTNAME00027;The Fueros Debate - Carlos VII;;;;;;;;;;;;;
EVTDESC00027;On the ascension of Carlos VII, the fueros debate has come up once again, and quite possibly for the last time in this era of history. By this point the Fueros have become, even in Victorian standards, highly established in society at large. Carlos VII is a Carlist in the most traditional sense, viewing the Fueros as an integral part of Spanish society, and indeed, not well-respected enough. As such, he seeks to not only preserve, but expand the privelegia of the fueros into full-scale autonomy and confederalism, devolving Spanish control into a mere rubber stamp for their own, largely independent actions. To accomplish this, the king has pressed forwards a reform program to steadily begin increasing their autonomy in local affairs.;;;;;;;;;;;;;
EVTOPTA00027;Reform is needed with time.;;;;;;;;;;;;;
EVTOPTB00027;MORE autonomy? No.;;;;;;;;;;;;;
EVTNAME00028;The Fueros Debate - Carlos VII Solution;;;;;;;;;;;;;
EVTDESC00028;With the increased autonomy granted to the fueros by the first reforms, Carlos VII has pressed forwards a reform program to finally evolve the Fueros system into a true autonomy granted to the Catalan and Basque. This will obviously render Madrid and the king both incapable of governing these provinces directly altogether, and will take a great deal of time to mitigate.;;;;;;;;;;;;;
EVTOPTA00028;True freedom at last.;;;;;;;;;;;;;
EVTOPTB00028;This is unnecessary. The Fueros will remain.;;;;;;;;;;;;;
EVTNAME00029;The Fueros Debate - Unresolved;;;;;;;;;;;;;
EVTDESC00029;As the years go by without the Fueros, entrenched old feudal privelegia reminiscent of the Ancien Regime, go unreformed, the more blatantly it is made clear that the Spanish crown is incapable of reforming and modernizing. (Each decade the issue goes unresolved, the modifier will get worse. Each Fueros reform option will be less costly than the last in the short term, but will be less ideal for the legal structure going forwards);;;;;;;;;;;;;
EVTOPTA00029;We still have time.;;;;;;;;;;;;;
EVTNAME00030;The Fueros Debate - Unresolved;;;;;;;;;;;;;
EVTDESC00030;As the years go by without the Fueros, entrenched old feudal privelegia reminiscent of the Ancien Regime, go unreformed, the more blatantly it is made clear that the Spanish crown is incapable of reforming and modernizing. (Each decade the issue goes unresolved, the modifier will get worse. Each Fueros reform option will be less costly than the last in the short term, but will be less ideal for the legal structure going forwards);;;;;;;;;;;;;
EVTOPTA00030;We still have time.;;;;;;;;;;;;;
EVTNAME00031;The Fueros Debate - Unresolved;;;;;;;;;;;;;
EVTDESC00031;As the years go by without the Fueros, entrenched old feudal privelegia reminiscent of the Ancien Regime, go unreformed, the more blatantly it is made clear that the Spanish crown is incapable of reforming and modernizing. (Each decade the issue goes unresolved, the modifier will get worse. Each Fueros reform option will be less costly than the last in the short term, but will be less ideal for the legal structure going forwards);;;;;;;;;;;;;
EVTOPTA00031;We still have time.;;;;;;;;;;;;;
EVTNAME00032;The Fueros Debate - Unresolved;;;;;;;;;;;;;
EVTDESC00032;As the years go by without the Fueros, entrenched old feudal privelegia reminiscent of the Ancien Regime, go unreformed, the more blatantly it is made clear that the Spanish crown is incapable of reforming and modernizing. (Each decade the issue goes unresolved, the modifier will get worse. Each Fueros reform option will be less costly than the last in the short term, but will be less ideal for the legal structure going forwards);;;;;;;;;;;;;
EVTOPTA00032;We still have time.;;;;;;;;;;;;;
EVTNAME00033;The Fueros Debate - Unresolved;;;;;;;;;;;;;
EVTDESC00033;As the years go by without the Fueros, entrenched old feudal privelegia reminiscent of the Ancien Regime, go unreformed, the more blatantly it is made clear that the Spanish crown is incapable of reforming and modernizing. (Each decade the issue goes unresolved, the modifier will get worse. Each Fueros reform option will be less costly than the last in the short term, but will be less ideal for the legal structure going forwards);;;;;;;;;;;;;
EVTOPTA00033;We still have time.;;;;;;;;;;;;;
EVTNAME00034;The Fueros Debate - Unresolved;;;;;;;;;;;;;
EVTDESC00034;As the years go by without the Fueros, entrenched old feudal privelegia reminiscent of the Ancien Regime, go unreformed, the more blatantly it is made clear that the Spanish crown is incapable of reforming and modernizing. (Each decade the issue goes unresolved, the modifier will get worse. Each Fueros reform option will be less costly than the last in the short term, but will be less ideal for the legal structure going forwards);;;;;;;;;;;;;
EVTOPTA00034;We still have time.;;;;;;;;;;;;;
EVTNAME00035;The Fueros Debate - Unresolved;;;;;;;;;;;;;
EVTDESC00035;As the years go by without the Fueros, entrenched old feudal privelegia reminiscent of the Ancien Regime, go unreformed, the more blatantly it is made clear that the Spanish crown is incapable of reforming and modernizing. (Each decade the issue goes unresolved, the modifier will get worse. Each Fueros reform option will be less costly than the last in the short term, but will be less ideal for the legal structure going forwards);;;;;;;;;;;;;
EVTOPTA00035;We still have time.;;;;;;;;;;;;;
EVTNAME00036;The Fueros Debate - Resolved;;;;;;;;;;;;;
EVTDESC00036;With one of several potential solutions finally pushed forwards, regardless of the consequences, the Fueros Debate has finally been resolved. With this accomplished, the debate has ended.;;;;;;;;;;;;;
EVTOPTA00036;Finally, peace.;;;;;;;;;;;;;
EVTNAME00037;Italian Unification - The Papacy Under Threat;;;;;;;;;;;;;
EVTDESC00037;In the height of Spanish supremacy in western europe, it maintained itself as the predominant defender of Catholic interests across the European continent, a sentiment that the traditionalist Carlists share greatly. In the wake of Italian unification, the Holy See has found itself greatly reduced, and indeed all but completely removed from the landscape of European politics. While Italy assures Europe that the religious authority of the Pope has in no way been diminished, this nationalistic order exists at potentially great detriment to the moral and traditional fabric of society, and must be dealt with swiftly if it is to be rectified.;;;;;;;;;;;;;
